in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-8.973E+01,1.039E+01,2.500E+00
2.00E+00,1.023E+01,-9.026E+01,-5.249E-03,2.500E+00
3.00E+00,1.047E+01,-9.222E+01,9.434E+00,2.500E+00
4.00E+00,1.072E+01,-9.143E+01,6.673E+00,2.500E+00
5.00E+00,1.096E+01,-8.926E+01,-3.870E+00,2.500E+00
6.00E+00,1.122E+01,-8.996E+01,1.001E+01,2.500E+00
7.00E+00,1.148E+01,-9.213E+01,2.822E+01,2.500E+00
8.00E+00,1.175E+01,-8.883E+01,1.851E+01,2.500E+00
9.00E+00,1.202E+01,-8.859E+01,-1.717E+00,2.500E+00
1.00E+01,1.230E+01,-9.072E+01,9.272E+00,2.500E+00
1.10E+01,1.259E+01,-8.693E+01,2.113E+01,2.500E+00
1.20E+01,1.288E+01,-8.897E+01,6.554E+00,2.500E+00
1.30E+01,1.318E+01,-9.012E+0121,7.417E+00,2.500E+00
1.40E+01,1.349E+01,-8.854E+01,1.332E+01,2.500E+00
1.50E+01,1.380E+01,-8.764E+01,1.282E+01,2.500E+00
1.60E+01,1.413E+01,-9.022E+01,-1.066E+01,2.500E+00
1.70E+01,1.445E+01,-8.926E+01,-5.188E+00,2.500E+00
1.80E+01,1.479E+01,-8.859E+01,5.667E+00,2.500E+00
1.90E+01,1.514E+01,-8.814E+01,6.089E+00,2.500E+00
2.00E+01,1.549E+01,-8.903E+01,4.670E+00,2.500E+00
2.10E+01,1.585E+01,-9.102E+01,-3.591E+01,2.500E+00
2.20E+01,1.622E+01,-9.272E+01,1.640E+01,2.500E+00
2.30E+01,1.660E+01,-9.017E+01,-2.834E+00,2.500E+00
2.40E+01,1.698E+01,-8.958E+01,8.587E+00,2.500E+00
2.50E+01,1.738E+01,-8.815E+01,1.440E+01,2.500E+00
2.60E+01,1.778E+01,-9.172E+01,-4.257E+00,2.500E+00
2.70E+01,1.820E+01,-8.894E+01,2.031E+01,2.500E+00
2.80E+01,1.862E+01,-8.909E+01,-8.198E+00,2.500E+00
2.90E+01,1.905E+01,-8.824E+01,-3.580E+00,2.500E+00
3.00E+01,1.950E+01,-8.747E+01,9.190E+00,2.500E+00
3.10E+01,1.995E+01,-8.959E+01,3.817E-02,2.500E+00
3.20E+01,2.042E+01,-8.972E+01,6.573E-01,2.500E+00
3.30E+01,2.089E+01,-9.164E+01,-8.816E+00,2.500E+00
3.40E+01,2.138E+01,-8.976E+01,-1.189E+01,2.500E+00
3.50E+01,2.188E+01,-9.117E+01,-1.302E+01,2.500E+00
3.60E+01,2.239E+01,-8.931E+01,9.919E+00,2.500E+00
3.70E+01,2.291E+01,-8.802E+01,-2.051E+01,2.500E+00
3.80E+01,2.344E+01,-9.440E+01,1.057E+01,2.500E+00
3.90E+01,2.399E+01,-8.738E+01,1.527E+01,2.500E+00
4.00E+01,2.455E+01,-9.003E+01,9.350E+00,2.500E+00
4.10E+01,2.512E+01,-9.133E+01,1.372E+01,2.500E+00
4.20E+01,2.570E+01,-8.964E+01,-6.231E+00,2.500E+00
4.30E+01,2.630E+01,-8.822E+01,1.314E+01,2.500E+00
4.40E+01,2.692E+01,-8.768E+01,-6.285E+00,2.500E+00
4.50E+01,2.754E+01,-8.716E+01,1.425E-01,2.500E+00
4.60E+01,2.818E+01,-8.993E+01,-1.835E+00,2.500E+00
4.70E+01,2.884E+01,-9.065E+01,1.216E+01,2.500E+00
4.80E+01,2.951E+01,-8.605E+01,3.985E+00,2.500E+00
4.90E+01,3.020E+01,-8.781E+01,5.079E+00,2.500E+00
5.00E+01,3.090E+01,-8.925E+01,2.400E+00,2.500E+00
5.10E+01,3.162E+01,-9.026E+01,7.890E+00,2.500E+00
5.20E+01,3.236E+01,-8.766E+01,2.878E+00,2.500E+00
5.30E+01,3.311E+01,-9.025E+01,1.526E+01,2.500E+00
5.40E+01,3.388E+01,-8.934E+01,-1.073E+01,2.500E+00
5.50E+01,3.467E+01,-9.045E+01,-1.006E+00,2.500E+00
5.60E+01,3.548E+01,-8.647E+01,4.558E+00,2.500E+00
5.70E+01,3.631E+01,-9.018E+01,1.542E+01,2.500E+00
5.80E+01,3.715E+01,-8.884E+01,1.929E+01,2.500E+00
