in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-4.291E-03,-3.143E-02,2.500E+00
2.00E+00,1.023E+01,-1.985E-03,-2.440E-02,2.500E+00
3.00E+00,1.047E+01,-1.386E-03,-3.354E-02,2.500E+00
4.00E+00,1.072E+01,-2.047E-03,-2.237E-02,2.500E+00
5.00E+00,1.096E+01,-2.755E-03,-2.222E-02,2.500E+00
6.00E+00,1.122E+01,-2.423E-03,-1.881E-02,2.500E+00
7.00E+00,1.148E+01,-2.202E-03,-3.577E-02,2.500E+00
8.00E+00,1.175E+01,-1.215E-03,-2.989E-02,2.500E+00
9.00E+00,1.202E+01,-4.744E-03,-3.572E-02,2.500E+00
1.00E+01,1.230E+01,-4.753E-03,-3.160E-02,2.500E+00
1.10E+01,1.259E+01,-1.455E-03,-2.841E-02,2.500E+00
1.20E+01,1.288E+01,-1.497E-03,-3.145E-02,2.500E+00
1.30E+01,1.318E+01,-7.678E-04,-2.515E-02,2.500E+00
1.40E+01,1.349E+01,-3.540E-03,-3.062E-02,2.500E+00
1.50E+01,1.380E+01,-4.867E-03,-3.522E-02,2.500E+00
1.60E+01,1.413E+01,-3.302E-03,-2.829E-02,2.500E+00
1.70E+01,1.445E+01,-2.500E-03,-2.773E-02,2.500E+00
1.80E+01,1.479E+01,-4.466E-03,-2.247E-02,2.500E+00
1.90E+01,1.514E+01,-4.127E-03,-1.817E-02,2.500E+00
2.00E+01,1.549E+01,-4.254E-03,-2.462E-02,2.500E+00
2.10E+01,1.585E+01,-3.144E-03,-2.952E-02,2.500E+00
2.20E+01,1.622E+01,-3.755E-03,-3.659E-02,2.500E+00
2.30E+01,1.660E+01,-2.386E-03,-2.482E-02,2.500E+00
2.40E+01,1.698E+01,-4.370E-03,-3.202E-02,2.500E+00
2.50E+01,1.738E+01,-4.721E-03,-1.315E-02,2.500E+00
2.60E+01,1.778E+01,-4.437E-03,-2.304E-02,2.500E+00
2.70E+01,1.820E+01,-2.812E-03,-2.702E-02,2.500E+00
2.80E+01,1.862E+01,-3.058E-03,-1.309E-02,2.500E+00
2.90E+01,1.905E+01,-4.011E-03,-2.516E-02,2.500E+00
3.00E+01,1.950E+01,-3.753E-03,-2.003E-02,2.500E+00
3.10E+01,1.995E+01,-3.661E-03,-1.959E-02,2.500E+00
3.20E+01,2.042E+01,-3.268E-03,-3.811E-02,2.500E+00
3.30E+01,2.089E+01,-1.580E-03,-3.275E-02,2.500E+00
3.40E+01,2.138E+01,-3.656E-03,-2.224E-02,2.500E+00
3.50E+01,2.188E+01,-2.554E-03,-2.857E-02,2.500E+00
3.60E+01,2.239E+01,-3.904E-03,-2.280E-02,2.500E+00
3.70E+01,2.291E+01,-2.543E-03,-2.222E-02,2.500E+00
3.80E+01,2.344E+01,-3.512E-03,-2.912E-02,2.500E+00
3.90E+01,2.399E+01,-2.322E-03,-3.403E-02,2.500E+00
4.00E+01,2.455E+01,-2.706E-03,-2.928E-02,2.500E+00
4.10E+01,2.512E+01,-4.642E-03,-2.198E-02,2.500E+00
4.20E+01,2.570E+01,-5.780E-03,-2.077E-02,2.500E+00
4.30E+01,2.630E+01,-2.855E-03,-3.578E-02,2.500E+00
4.40E+01,2.692E+01,-4.401E-03,-2.870E-02,2.500E+00
4.50E+01,2.754E+01,-4.060E-03,-2.833E-02,2.500E+00
4.60E+01,2.818E+01,-4.027E-03,-3.233E-02,2.500E+00
4.70E+01,2.884E+01,-2.998E-03,-3.067E-02,2.500E+00
4.80E+01,2.951E+01,-4.001E-03,-2.742E-02,2.500E+00
4.90E+01,3.020E+01,-1.654E-03,-2.642E-02,2.500E+00
5.00E+01,3.090E+01,-2.037E-03,-3.661E-02,2.500E+00
5.10E+01,3.162E+01,-1.455E-03,-2.548E-02,2.500E+00
5.20E+01,3.236E+01,-2.882E-03,-2.993E-02,2.500E+00
5.30E+01,3.311E+01,-1.959E-03,-2.981E-02,2.500E+00
5.40E+01,3.388E+01,-1.568E-03,-2.641E-02,2.500E+00
5.50E+01,3.467E+01,-1.696E-03,-2.829E-02,2.500E+00
5.60E+01,3.548E+01,-5.644E-03,-3.990E-02,2.500E+00
5.70E+01,3.631E+01,-2.854E-03,-3.293E-02,2.500E+00
5.80E+01,3.715E+01,-3.268E-03,-3.459E-02,2.500E+00
5.90E+01,3.802E+01,-2.946E-03,-3.123E-02,2.500E+00
6.00E+01,3.890E+01,-4.923E-03,-3.327E-02,2.500E+00
6.10E+01,3.981E+01,-2.832E-03,-2.969E-02,2.500E+00
6.20E+01,4.074E+01,-3.304E-03,-3.085E-02,2.500E+00
6.30E+01,4.169E+01,-1.916E-03,-3.385E-02,2.500E+00
6.40E+01,4.266E+01,-5.886E-03,-2.597E-02,2.500E+00
6.50E+01,4.365E+01,-3.528E-03,-3.350E-02,2.500E+00
6.60E+01,4.467E+01,-3.554E-03,-3.472E-02,2.500E+00
6.70E+01,4.571E+01,-2.029E-03,-3.699E-02,2.500E+00
6.80E+01,4.677E+01,-3.888E-03,-3.405E-02,2.500E+00
6.90E+01,4.786E+01,-4.668E-03,-3.271E-02,2.500E+00
7.00E+01,4.898E+01,-2.161E-03,-4.016E-02,2.500E+00
7.10E+01,5.012E+01,-3.171E-03,-3.317E-02,2.500E+00
7.20E+01,5.129E+01,-5.065E-03,-4.616E-02,2.500E+00
7.30E+01,5.248E+01,-3.153E-03,-3.292E-02,2.500E+00
7.40E+01,5.370E+01,-4.840E-03,-4.056E-02,2.500E+00
7.50E+01,5.495E+01,-5.237E-03,-4.238E-02,2.500E+00
7.60E+01,5.623E+01,-4.862E-03,-3.587E-02,2.500E+00
7.70E+01,5.754E+01,-4.485E-03,-4.546E-02,2.500E+00
7.80E+01,5.888E+01,-6.473E-03,-4.653E-02,2.500E+00
7.90E+01,6.026E+01,-3.937E-03,-4.772E-02,2.500E+00
8.00E+01,6.166E+01,-6.207E-03,-4.607E-02,2.500E+00
8.10E+01,6.310E+01,-3.929E-03,-5.406E-02,2.500E+00
8.20E+01,6.457E+01,-6.267E-03,-4.499E-02,2.500E+00
8.30E+01,6.607E+01,-3.512E-03,-4.526E-02,2.500E+00
8.40E+01,6.761E+01,-5.186E-03,-6.017E-02,2.500E+00
8.50E+01,6.918E+01,-6.645E-03,-4.617E-02,2.500E+00
8.60E+01,7.079E+01,-5.504E-03,-4.937E-02,2.500E+00
8.70E+01,7.244E+01,-3.882E-03,-4.859E-02,2.500E+00
8.80E+01,7.413E+01,-3.879E-03,-4.697E-02,2.500E+00
8.90E+01,7.586E+01,-4.541E-03,-5.199E-02,2.500E+00
9.00E+01,7.762E+01,-1.159E-03,-6.013E-02,2.500E+00
9.10E+01,7.943E+01,-1.569E-03,-5.094E-02,2.500E+00
9.20E+01,8.128E+01,-2.976E-03,-5.906E-02,2.500E+00
9.30E+01,8.318E+01,-3.248E-03,-5.330E-02,2.500E+00
9.40E+01,8.511E+01,-5.301E-03,-5.880E-02,2.500E+00
9.50E+01,8.710E+01,-3.801E-03,-6.152E-02,2.500E+00
9.60E+01,8.913E+01,-3.798E-03,-6.441E-02,2.500E+00
9.70E+01,9.120E+01,-2.422E-03,-6.385E-02,2.500E+00
9.80E+01,9.333E+01,-4.246E-03,-6.034E-02,2.500E+00
9.90E+01,9.550E+01,-4.332E-03,-6.604E-02,2.500E+00
1.00E+02,9.772E+01,-4.723E-03,-6.826E-02,2.500E+00
1.01E+02,1.000E+02,-2.542E-03,-6.807E-02,2.500E+00
1.02E+02,1.023E+02,-3.279E-03,-7.597E-02,2.500E+00
1.03E+02,1.047E+02,-5.248E-03,-7.149E-02,2.500E+00
1.04E+02,1.072E+02,-2.946E-03,-7.184E-02,2.500E+00
1.05E+02,1.096E+02,-2.718E-03,-6.772E-02,2.500E+00
1.06E+02,1.122E+02,-5.333E-03,-7.469E-02,2.500E+00
1.07E+02,1.148E+02,-3.163E-03,-7.863E-02,2.500E+00
1.08E+02,1.175E+02,-4.133E-03,-7.871E-02,2.500E+00
1.09E+02,1.202E+02,-3.828E-03,-7.999E-02,2.500E+00
1.10E+02,1.230E+02,-5.268E-03,-7.879E-02,2.500E+00
1.11E+02,1.259E+02,-6.055E-03,-8.121E-02,2.500E+00
1.12E+02,1.288E+02,-3.690E-03,-9.087E-02,2.500E+00
1.13E+02,1.318E+02,-5.684E-03,-9.163E-02,2.500E+00
1.14E+02,1.349E+02,-6.101E-03,-8.936E-02,2.500E+00
1.15E+02,1.380E+02,-5.449E-03,-8.379E-02,2.500E+00
1.16E+02,1.413E+02,-5.120E-03,-8.910E-02,2.500E+00
1.17E+02,1.445E+02,-6.297E-03,-9.747E-02,2.500E+00
1.18E+02,1.479E+02,-4.211E-03,-9.889E-02,2.500E+00
1.19E+02,1.514E+02,-4.050E-03,-9.659E-02,2.500E+00
1.20E+02,1.549E+02,-6.973E-03,-1.044E-01,2.500E+00
1.21E+02,1.585E+02,-6.444E-03,-1.081E-01,2.500E+00
1.22E+02,1.622E+02,-7.028E-03,-1.074E-01,2.500E+00
1.23E+02,1.660E+02,-6.692E-03,-1.015E-01,2.500E+00
1.24E+02,1.698E+02,-5.335E-03,-1.077E-01,2.500E+00
1.25E+02,1.738E+02,-6.695E-03,-1.156E-01,2.500E+00
1.26E+02,1.778E+02,-7.382E-03,-1.111E-01,2.500E+00
1.27E+02,1.820E+02,-8.532E-03,-1.204E-01,2.500E+00
1.28E+02,1.862E+02,-6.158E-03,-1.218E-01,2.500E+00
1.29E+02,1.905E+02,-6.753E-03,-1.192E-01,2.500E+00
1.30E+02,1.950E+02,-8.126E-03,-1.269E-01,2.500E+00
1.31E+02,1.995E+02,-9.167E-03,-1.270E-01,2.500E+00
1.32E+02,2.042E+02,-4.908E-03,-1.385E-01,2.500E+00
1.33E+02,2.089E+02,-8.074E-03,-1.356E-01,2.500E+00
1.34E+02,2.138E+02,-8.326E-03,-1.378E-01,2.500E+00
1.35E+02,2.188E+02,-9.285E-03,-1.409E-01,2.500E+00
1.36E+02,2.239E+02,-7.927E-03,-1.415E-01,2.500E+00
1.37E+02,2.291E+02,-9.764E-03,-1.500E-01,2.500E+00
1.38E+02,2.344E+02,-1.064E-02,-1.425E-01,2.500E+00
1.39E+02,2.399E+02,-9.945E-03,-1.531E-01,2.500E+00
