in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+04,-3.998E-02,-4.379E+00,2.500E+00
2.00E+00,1.012E+04,-3.917E-02,-4.427E+00,2.500E+00
3.00E+00,1.023E+04,-4.214E-02,-4.476E+00,2.500E+00
4.00E+00,1.035E+04,-4.322E-02,-4.526E+00,2.500E+00
5.00E+00,1.047E+04,-4.224E-02,-4.583E+00,2.500E+00
6.00E+00,1.059E+04,-4.407E-02,-4.638E+00,2.500E+00
7.00E+00,1.072E+04,-4.469E-02,-4.686E+00,2.500E+00
8.00E+00,1.084E+04,-4.454E-02,-4.742E+00,2.500E+00
9.00E+00,1.096E+04,-4.697E-02,-4.795E+00,2.500E+00
1.00E+01,1.109E+04,-4.875E-02,-4.855E+00,2.500E+00
1.10E+01,1.122E+04,-4.927E-02,-4.908E+00,2.500E+00
1.20E+01,1.135E+04,-5.015E-02,-4.969E+00,2.500E+00
1.30E+01,1.148E+04,-5.004E-02,-5.026E+00,2.500E+00
1.40E+01,1.161E+04,-5.053E-02,-5.085E+00,2.500E+00
1.50E+01,1.175E+04,-5.373E-02,-5.143E+00,2.500E+00
1.60E+01,1.189E+04,-5.410E-02,-5.206E+00,2.500E+00
1.70E+01,1.202E+04,-5.667E-02,-5.270E+00,2.500E+00
1.80E+01,1.216E+04,-5.484E-02,-5.327E+00,2.500E+00
1.90E+01,1.230E+04,-5.585E-02,-5.385E+00,2.500E+00
2.00E+01,1.245E+04,-5.948E-02,-5.455E+00,2.500E+00
2.10E+01,1.259E+04,-6.074E-02,-5.512E+00,2.500E+00
2.20E+01,1.274E+04,-5.895E-02,-5.576E+00,2.500E+00
2.30E+01,1.288E+04,-6.370E-02,-5.645E+00,2.500E+00
2.40E+01,1.303E+04,-6.388E-02,-5.710E+00,2.500E+00
2.50E+01,1.318E+04,-6.617E-02,-5.769E+00,2.500E+00
2.60E+01,1.334E+04,-6.942E-02,-5.837E+00,2.500E+00
2.70E+01,1.349E+04,-6.774E-02,-5.909E+00,2.500E+00
2.80E+01,1.365E+04,-7.023E-02,-5.974E+00,2.500E+00
2.90E+01,1.380E+04,-7.235E-02,-6.045E+00,2.500E+00
3.00E+01,1.396E+04,-7.541E-02,-6.117E+00,2.500E+00
3.10E+01,1.413E+04,-7.513E-02,-6.189E+00,2.500E+00
3.20E+01,1.429E+04,-7.728E-02,-6.258E+00,2.500E+00
3.30E+01,1.445E+04,-8.018E-02,-6.334E+00,2.500E+00
3.40E+01,1.462E+04,-7.999E-02,-6.404E+00,2.500E+00
3.50E+01,1.479E+04,-8.498E-02,-6.474E+00,2.500E+00
3.60E+01,1.496E+04,-8.655E-02,-6.554E+00,2.500E+00
3.70E+01,1.514E+04,-8.809E-02,-6.630E+00,2.500E+00
3.80E+01,1.531E+04,-8.998E-02,-6.706E+00,2.500E+00
3.90E+01,1.549E+04,-9.282E-02,-6.787E+00,2.500E+00
4.00E+01,1.567E+04,-9.363E-02,-6.859E+00,2.500E+00
4.10E+01,1.585E+04,-9.641E-02,-6.938E+00,2.500E+00
4.20E+01,1.603E+04,-9.775E-02,-7.027E+00,2.500E+00
4.30E+01,1.622E+04,-1.013E-01,-7.102E+00,2.500E+00
4.40E+01,1.641E+04,-1.035E-01,-7.185E+00,2.500E+00
4.50E+01,1.660E+04,-1.046E-01,-7.272E+00,2.500E+00
4.60E+01,1.679E+04,-1.074E-01,-7.355E+00,2.500E+00
