in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-4.620E-03,-1.768E-02,2.500E+00
2.00E+00,1.023E+01,-5.944E-03,-3.151E-02,2.500E+00
3.00E+00,1.047E+01,-6.892E-03,-2.654E-02,2.500E+00
4.00E+00,1.072E+01,-4.091E-03,-2.452E-02,2.500E+00
5.00E+00,1.096E+01,-3.104E-03,-2.281E-02,2.500E+00
6.00E+00,1.122E+01,-3.265E-03,-2.937E-02,2.500E+00
7.00E+00,1.148E+01,-3.394E-03,-2.576E-02,2.500E+00
8.00E+00,1.175E+01,-5.275E-03,-2.376E-02,2.500E+00
9.00E+00,1.202E+01,-4.962E-03,-2.994E-02,2.500E+00
1.00E+01,1.230E+01,-5.475E-03,-3.194E-02,2.500E+00
1.10E+01,1.259E+01,-5.325E-03,-1.723E-02,2.500E+00
1.20E+01,1.288E+01,-5.109E-03,-2.039E-02,2.500E+00
1.30E+01,1.318E+01,-7.461E-03,-1.993E-02,2.500E+00
1.40E+01,1.349E+01,-5.446E-03,-2.988E-02,2.500E+00
1.50E+01,1.380E+01,-5.077E-03,-2.287E-02,2.500E+00
1.60E+01,1.413E+01,-3.863E-03,-2.147E-02,2.500E+00
1.70E+01,1.445E+01,-3.989E-03,-2.130E-02,2.500E+00
1.80E+01,1.479E+01,-3.188E-03,-2.782E-02,2.500E+00
1.90E+01,1.514E+01,-4.539E-03,-7.385E-03,2.500E+00
2.00E+01,1.549E+01,-5.975E-03,-1.016E-02,2.500E+00
2.10E+01,1.585E+01,-3.811E-03,-1.455E-02,2.500E+00
2.20E+01,1.622E+01,-3.655E-03,-2.778E-02,2.500E+00
2.30E+01,1.660E+01,-3.495E-03,-1.893E-02,2.500E+00
2.40E+01,1.698E+01,-5.438E-03,-2.356E-02,2.500E+00
2.50E+01,1.738E+01,-5.408E-03,-1.992E-02,2.500E+00
2.60E+01,1.778E+01,-4.641E-03,-2.643E-02,2.500E+00
2.70E+01,1.820E+01,-5.454E-03,-1.479E-02,2.500E+00
2.80E+01,1.862E+01,-5.423E-03,-1.847E-02,2.500E+00
2.90E+01,1.905E+01,-7.681E-03,-2.256E-02,2.500E+00
3.00E+01,1.950E+01,-4.535E-03,-1.297E-02,2.500E+00
3.10E+01,1.995E+01,-4.370E-03,-1.977E-02,2.500E+00
3.20E+01,2.042E+01,-4.875E-03,-1.952E-02,2.500E+00
3.30E+01,2.089E+01,-6.309E-03,-1.465E-02,2.500E+00
3.40E+01,2.138E+01,-4.126E-03,-8.682E-03,2.500E+00
3.50E+01,2.188E+01,-5.678E-03,-1.476E-02,2.500E+00
3.60E+01,2.239E+01,-4.883E-03,-1.807E-02,2.500E+00
3.70E+01,2.291E+01,-4.313E-03,-1.872E-02,2.500E+00
3.80E+01,2.344E+01,-4.378E-03,-1.359E-02,2.500E+00
3.90E+01,2.399E+01,-5.211E-03,-1.763E-02,2.500E+00
4.00E+01,2.455E+01,-3.976E-03,-1.289E-02,2.500E+00
4.10E+01,2.512E+01,-3.973E-03,-1.956E-02,2.500E+00
4.20E+01,2.570E+01,-3.113E-03,-1.591E-02,2.500E+00
4.30E+01,2.630E+01,-4.010E-03,-1.440E-02,2.500E+00
4.40E+01,2.692E+01,-2.964E-03,-1.418E-02,2.500E+00
4.50E+01,2.754E+01,-6.064E-03,-2.298E-02,2.500E+00
4.60E+01,2.818E+01,-2.959E-03,-1.639E-02,2.500E+00
4.70E+01,2.884E+01,-4.137E-03,-1.819E-02,2.500E+00
4.80E+01,2.951E+01,-3.637E-03,-6.264E-03,2.500E+00
4.90E+01,3.020E+01,-3.304E-03,-1.791E-02,2.500E+00
5.00E+01,3.090E+01,-2.996E-03,-1.032E-02,2.500E+00
5.10E+01,3.162E+01,-1.985E-03,-2.283E-02,2.500E+00
5.20E+01,3.236E+01,-4.442E-03,-8.308E-03,2.500E+00
5.30E+01,3.311E+01,-6.565E-03,-1.389E-02,2.500E+00
5.40E+01,3.388E+01,-2.028E-03,-1.823E-02,2.500E+00
5.50E+01,3.467E+01,-3.582E-03,-1.918E-02,2.500E+00
5.60E+01,3.548E+01,-3.245E-03,-1.180E-02,2.500E+00
5.70E+01,3.631E+01,-3.767E-03,-9.636E-03,2.500E+00
5.80E+01,3.715E+01,-3.491E-03,-1.378E-02,2.500E+00
5.90E+01,3.802E+01,-4.210E-03,-2.708E-03,2.500E+00
6.00E+01,3.890E+01,-5.406E-03,-1.701E-02,2.500E+00
6.10E+01,3.981E+01,-5.478E-03,-1.411E-02,2.500E+00
6.20E+01,4.074E+01,-4.356E-03,-2.212E-02,2.500E+00
6.30E+01,4.169E+01,-4.422E-03,-2.152E-02,2.500E+00
6.40E+01,4.266E+01,-3.213E-03,-1.820E-02,2.500E+00
6.50E+01,4.365E+01,-4.074E-03,-1.849E-02,2.500E+00
6.60E+01,4.467E+01,-5.493E-03,-1.070E-02,2.500E+00
6.70E+01,4.571E+01,-4.757E-03,-2.161E-02,2.500E+00
6.80E+01,4.677E+01,-4.674E-03,-2.110E-02,2.500E+00
6.90E+01,4.786E+01,-5.319E-03,-1.849E-02,2.500E+00
7.00E+01,4.898E+01,-5.466E-03,-1.020E-02,2.500E+00
7.10E+01,5.012E+01,-4.642E-03,-1.079E-02,2.500E+00
7.20E+01,5.129E+01,-4.212E-03,-1.115E-02,2.500E+00
7.30E+01,5.248E+01,-4.392E-03,-2.798E-02,2.500E+00
7.40E+01,5.370E+01,-5.520E-03,-1.178E-02,2.500E+00
7.50E+01,5.495E+01,-5.047E-03,-1.825E-02,2.500E+00
7.60E+01,5.623E+01,-3.217E-03,-7.637E-03,2.500E+00
7.70E+01,5.754E+01,-4.117E-03,-1.090E-02,2.500E+00
7.80E+01,5.888E+01,-5.647E-03,-2.137E-02,2.500E+00
