in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-8.960E-03,-5.873E-02,2.500E+00
2.00E+00,1.023E+01,-5.880E-03,-6.093E-02,2.500E+00
3.00E+00,1.047E+01,-8.579E-03,-4.997E-02,2.500E+00
4.00E+00,1.072E+01,-1.167E-02,-5.418E-02,2.500E+00
5.00E+00,1.096E+01,-1.029E-02,-4.666E-02,2.500E+00
6.00E+00,1.122E+01,-9.005E-03,-5.540E-02,2.500E+00
7.00E+00,1.148E+01,-9.019E-03,-6.564E-02,2.500E+00
8.00E+00,1.175E+01,-9.951E-03,-6.061E-02,2.500E+00
9.00E+00,1.202E+01,-7.427E-03,-5.553E-02,2.500E+00
1.00E+01,1.230E+01,-1.086E-02,-4.745E-02,2.500E+00
1.10E+01,1.259E+01,-9.066E-03,-6.221E-02,2.500E+00
1.20E+01,1.288E+01,-7.109E-03,-6.136E-02,2.500E+00
1.30E+01,1.318E+01,-7.813E-03,-5.612E-02,2.500E+00
1.40E+01,1.349E+01,-7.445E-03,-6.187E-02,2.500E+00
1.50E+01,1.380E+01,-8.854E-03,-5.302E-02,2.500E+00
1.60E+01,1.413E+01,-9.358E-03,-6.462E-02,2.500E+00
1.70E+01,1.445E+01,-9.348E-03,-5.454E-02,2.500E+00
1.80E+01,1.479E+01,-8.172E-03,-5.108E-02,2.500E+00
1.90E+01,1.514E+01,-7.710E-03,-6.217E-02,2.500E+00
2.00E+01,1.549E+01,-1.091E-02,-6.953E-02,2.500E+00
2.10E+01,1.585E+01,-9.796E-03,-6.276E-02,2.500E+00
2.20E+01,1.622E+01,-9.758E-03,-5.679E-02,2.500E+00
2.30E+01,1.660E+01,-9.051E-03,-7.318E-02,2.500E+00
2.40E+01,1.698E+01,-8.830E-03,-5.740E-02,2.500E+00
2.50E+01,1.738E+01,-7.912E-03,-6.402E-02,2.500E+00
2.60E+01,1.778E+01,-8.450E-03,-6.892E-02,2.500E+00
2.70E+01,1.820E+01,-8.004E-03,-8.440E-02,2.500E+00
2.80E+01,1.862E+01,-9.669E-03,-6.773E-02,2.500E+00
2.90E+01,1.905E+01,-9.045E-03,-6.437E-02,2.500E+00
3.00E+01,1.950E+01,-7.575E-03,-7.192E-02,2.500E+00
3.10E+01,1.995E+01,-9.194E-03,-7.233E-02,2.500E+00
3.20E+01,2.042E+01,-7.334E-03,-7.168E-02,2.500E+00
3.30E+01,2.089E+01,-7.140E-03,-6.342E-02,2.500E+00
3.40E+01,2.138E+01,-8.723E-03,-7.914E-02,2.500E+00
3.50E+01,2.188E+01,-7.494E-03,-8.177E-02,2.500E+00
3.60E+01,2.239E+01,-8.428E-03,-8.314E-02,2.500E+00
3.70E+01,2.291E+01,-9.473E-03,-8.054E-02,2.500E+00
3.80E+01,2.344E+01,-9.013E-03,-8.120E-02,2.500E+00
3.90E+01,2.399E+01,-6.863E-03,-9.234E-02,2.500E+00
4.00E+01,2.455E+01,-9.345E-03,-8.838E-02,2.500E+00
4.10E+01,2.512E+01,-8.588E-03,-9.145E-02,2.500E+00
4.20E+01,2.570E+01,-9.845E-03,-8.951E-02,2.500E+00
4.30E+01,2.630E+01,-1.098E-02,-9.045E-02,2.500E+00
4.40E+01,2.692E+01,-8.373E-03,-9.633E-02,2.500E+00
4.50E+01,2.754E+01,-9.525E-03,-8.448E-02,2.500E+00
4.60E+01,2.818E+01,-7.276E-03,-9.486E-02,2.500E+00
4.70E+01,2.884E+01,-6.444E-03,-1.050E-01,2.500E+00
4.80E+01,2.951E+01,-7.224E-03,-1.053E-01,2.500E+00
4.90E+01,3.020E+01,-5.413E-03,-9.700E-02,2.500E+00
5.00E+01,3.090E+01,-7.029E-03,-1.059E-01,2.500E+00
5.10E+01,3.162E+01,-7.304E-03,-9.917E-02,2.500E+00
5.20E+01,3.236E+01,-6.088E-03,-1.127E-01,2.500E+00
5.30E+01,3.311E+01,-6.869E-03,-1.123E-01,2.500E+00
5.40E+01,3.388E+01,-7.457E-03,-1.066E-01,2.500E+00
5.50E+01,3.467E+01,-6.745E-03,-1.226E-01,2.500E+00
5.60E+01,3.548E+01,-9.563E-03,-1.179E-01,2.500E+00
5.70E+01,3.631E+01,-8.037E-03,-1.218E-01,2.500E+00
5.80E+01,3.715E+01,-7.901E-03,-1.284E-01,2.500E+00
5.90E+01,3.802E+01,-7.965E-03,-1.207E-01,2.500E+00
6.00E+01,3.890E+01,-6.424E-03,-1.282E-01,2.500E+00
6.10E+01,3.981E+01,-7.222E-03,-1.264E-01,2.500E+00
6.20E+01,4.074E+01,-8.367E-03,-1.252E-01,2.500E+00
6.30E+01,4.169E+01,-5.512E-03,-1.323E-01,2.500E+00
6.40E+01,4.266E+01,-6.805E-03,-1.528E-01,2.500E+00
6.50E+01,4.365E+01,-7.798E-03,-1.583E-01,2.500E+00
6.60E+01,4.467E+01,-6.326E-03,-1.566E-01,2.500E+00
6.70E+01,4.571E+01,-6.744E-03,-1.550E-01,2.500E+00
6.80E+01,4.677E+01,-5.010E-03,-1.517E-01,2.500E+00
6.90E+01,4.786E+01,-6.643E-03,-1.542E-01,2.500E+00
7.00E+01,4.898E+01,-6.552E-03,-1.580E-01,2.500E+00
7.10E+01,5.012E+01,-6.690E-03,-1.598E-01,2.500E+00
7.20E+01,5.129E+01,-6.646E-03,-1.617E-01,2.500E+00
7.30E+01,5.248E+01,-6.955E-03,-1.701E-01,2.500E+00
7.40E+01,5.370E+01,-5.180E-03,-1.759E-01,2.500E+00
7.50E+01,5.495E+01,-8.148E-03,-1.721E-01,2.500E+00
7.60E+01,5.623E+01,-7.890E-03,-1.814E-01,2.500E+00
7.70E+01,5.754E+01,-7.159E-03,-1.781E-01,2.500E+00
7.80E+01,5.888E+01,-7.874E-03,-1.926E-01,2.500E+00
7.90E+01,6.026E+01,-8.266E-03,-1.899E-01,2.500E+00
8.00E+01,6.166E+01,-8.071E-03,-1.888E-01,2.500E+00
8.10E+01,6.310E+01,-6.942E-03,-1.967E-01,2.500E+00
8.20E+01,6.457E+01,-7.793E-03,-2.007E-01,2.500E+00
8.30E+01,6.607E+01,-8.925E-03,-2.080E-01,2.500E+00
8.40E+01,6.761E+01,-6.496E-03,-2.097E-01,2.500E+00
8.50E+01,6.918E+01,-7.723E-03,-2.201E-01,2.500E+00
8.60E+01,7.079E+01,-6.772E-03,-2.196E-01,2.500E+00
8.70E+01,7.244E+01,-9.254E-03,-2.263E-01,2.500E+00
8.80E+01,7.413E+01,-6.321E-03,-2.268E-01,2.500E+00
8.90E+01,7.586E+01,-7.069E-03,-2.418E-01,2.500E+00
9.00E+01,7.762E+01,-8.053E-03,-2.378E-01,2.500E+00
9.10E+01,7.943E+01,-5.835E-03,-2.469E-01,2.500E+00
9.20E+01,8.128E+01,-7.126E-03,-2.563E-01,2.500E+00
9.30E+01,8.318E+01,-5.546E-03,-2.556E-01,2.500E+00
9.40E+01,8.511E+01,-7.386E-03,-2.683E-01,2.500E+00
9.50E+01,8.710E+01,-6.207E-03,-2.697E-01,2.500E+00
