in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-1.456E-01,-1.045E+00,2.500E+00
2.00E+00,1.023E+01,-1.465E-01,-1.048E+00,2.500E+00
3.00E+00,1.047E+01,-1.503E-01,-1.095E+00,2.500E+00
4.00E+00,1.072E+01,-1.494E-01,-1.104E+00,2.500E+00
5.00E+00,1.096E+01,-1.519E-01,-1.134E+00,2.500E+00
6.00E+00,1.122E+01,-1.508E-01,-1.142E+00,2.500E+00
7.00E+00,1.148E+01,-1.490E-01,-1.194E+00,2.500E+00
8.00E+00,1.175E+01,-1.483E-01,-1.209E+00,2.500E+00
9.00E+00,1.202E+01,-1.535E-01,-1.233E+00,2.500E+00
1.00E+01,1.230E+01,-1.522E-01,-1.260E+00,2.500E+00
1.10E+01,1.259E+01,-1.525E-01,-1.298E+00,2.500E+00
1.20E+01,1.288E+01,-1.499E-01,-1.337E+00,2.500E+00
1.30E+01,1.318E+01,-1.506E-01,-1.376E+00,2.500E+00
1.40E+01,1.349E+01,-1.545E-01,-1.388E+00,2.500E+00
1.50E+01,1.380E+01,-1.553E-01,-1.412E+00,2.500E+00
1.60E+01,1.413E+01,-1.577E-01,-1.457E+00,2.500E+00
1.70E+01,1.445E+01,-1.569E-01,-1.492E+00,2.500E+00
1.80E+01,1.479E+01,-1.566E-01,-1.525E+00,2.500E+00
1.90E+01,1.514E+01,-1.580E-01,-1.565E+00,2.500E+00
2.00E+01,1.549E+01,-1.588E-01,-1.589E+00,2.500E+00
2.10E+01,1.585E+01,-1.619E-01,-1.623E+00,2.500E+00
2.20E+01,1.622E+01,-1.622E-01,-1.667E+00,2.500E+00
2.30E+01,1.660E+01,-1.610E-01,-1.707E+00,2.500E+00
2.40E+01,1.698E+01,-1.663E-01,-1.745E+00,2.500E+00
2.50E+01,1.738E+01,-1.654E-01,-1.785E+00,2.500E+00
2.60E+01,1.778E+01,-1.694E-01,-1.826E+00,2.500E+00
2.70E+01,1.820E+01,-1.666E-01,-1.875E+00,2.500E+00
2.80E+01,1.862E+01,-1.711E-01,-1.907E+00,2.500E+00
2.90E+01,1.905E+01,-1.691E-01,-1.958E+00,2.500E+00
3.00E+01,1.950E+01,-1.742E-01,-1.996E+00,2.500E+00
3.10E+01,1.995E+01,-1.738E-01,-2.047E+00,2.500E+00
3.20E+01,2.042E+01,-1.707E-01,-2.094E+00,2.500E+00
3.30E+01,2.089E+01,-1.770E-01,-2.144E+00,2.500E+00
3.40E+01,2.138E+01,-1.789E-01,-2.186E+00,2.500E+00
3.50E+01,2.188E+01,-1.796E-01,-2.237E+00,2.500E+00
3.60E+01,2.239E+01,-1.823E-01,-2.298E+00,2.500E+00
3.70E+01,2.291E+01,-1.851E-01,-2.341E+00,2.500E+00
3.80E+01,2.344E+01,-1.775E-01,-2.405E+00,2.500E+00
3.90E+01,2.399E+01,-1.850E-01,-2.454E+00,2.500E+00
4.00E+01,2.455E+01,-1.854E-01,-2.500E+00,2.500E+00
4.10E+01,2.512E+01,-1.900E-01,-2.557E+00,2.500E+00
4.20E+01,2.570E+01,-1.873E-01,-2.624E+00,2.500E+00
4.30E+01,2.630E+01,-1.943E-01,-2.686E+00,2.500E+00
4.40E+01,2.692E+01,-1.929E-01,-2.750E+00,2.500E+00
4.50E+01,2.754E+01,-1.978E-01,-2.803E+00,2.500E+00
4.60E+01,2.818E+01,-1.975E-01,-2.876E+00,2.500E+00
4.70E+01,2.884E+01,-1.938E-01,-2.945E+00,2.500E+00
4.80E+01,2.951E+01,-2.034E-01,-2.996E+00,2.500E+00
4.90E+01,3.020E+01,-1.367E-01,-3.591E+00,2.500E+00
5.00E+01,3.090E+01,-1.384E-01,-3.677E+00,2.500E+00
5.10E+01,3.162E+01,-1.366E-01,-3.772E+00,2.500E+00
5.20E+01,3.236E+01,-1.402E-01,-3.865E+00,2.500E+00
5.30E+01,3.311E+01,-1.401E-01,-3.933E+00,2.500E+00
5.40E+01,3.388E+01,-1.441E-01,-4.033E+00,2.500E+00
5.50E+01,3.467E+01,-1.433E-01,-4.117E+00,2.500E+00
5.60E+01,3.548E+01,-1.467E-01,-4.220E+00,2.500E+00
5.70E+01,3.631E+01,-1.466E-01,-4.312E+00,2.500E+00
5.80E+01,3.715E+01,-1.495E-01,-4.412E+00,2.500E+00
5.90E+01,3.802E+01,-1.513E-01,-4.505E+00,2.500E+00
6.00E+01,3.890E+01,-1.557E-01,-4.613E+00,2.500E+00
6.10E+01,3.981E+01,-1.537E-01,-4.712E+00,2.500E+00
6.20E+01,4.074E+01,-1.554E-01,-4.823E+00,2.500E+00
6.30E+01,4.169E+01,-1.566E-01,-4.943E+00,2.500E+00
6.40E+01,4.266E+01,-1.616E-01,-5.055E+00,2.500E+00
6.50E+01,4.365E+01,-1.622E-01,-5.171E+00,2.500E+00
6.60E+01,4.467E+01,-1.650E-01,-5.292E+00,2.500E+00
6.70E+01,4.571E+01,-1.682E-01,-5.409E+00,2.500E+00
6.80E+01,4.677E+01,-1.692E-01,-5.535E+00,2.500E+00
6.90E+01,4.786E+01,-1.738E-01,-5.656E+00,2.500E+00
7.00E+01,4.898E+01,-1.797E-01,-5.790E+00,2.500E+00
7.10E+01,5.012E+01,-1.781E-01,-5.921E+00,2.500E+00
7.20E+01,5.129E+01,-1.810E-01,-6.052E+00,2.500E+00
7.30E+01,5.248E+01,-1.843E-01,-6.195E+00,2.500E+00
7.40E+01,5.370E+01,-1.871E-01,-6.324E+00,2.500E+00
7.50E+01,5.495E+01,-1.914E-01,-6.477E+00,2.500E+00
7.60E+01,5.623E+01,-1.959E-01,-6.613E+00,2.500E+00
7.70E+01,5.754E+01,-1.963E-01,-6.756E+00,2.500E+00
7.80E+01,5.888E+01,-2.026E-01,-6.929E+00,2.500E+00
7.90E+01,6.026E+01,-2.058E-01,-7.084E+00,2.500E+00
8.00E+01,6.166E+01,-2.097E-01,-7.246E+00,2.500E+00
8.10E+01,6.310E+01,-2.125E-01,-7.413E+00,2.500E+00
8.20E+01,6.457E+01,-2.187E-01,-7.589E+00,2.500E+00
8.30E+01,6.607E+01,-2.267E-01,-7.743E+00,2.500E+00
8.40E+01,6.761E+01,-2.293E-01,-7.928E+00,2.500E+00
8.50E+01,6.918E+01,-2.353E-01,-8.106E+00,2.500E+00
8.60E+01,7.079E+01,-2.410E-01,-8.269E+00,2.500E+00
8.70E+01,7.244E+01,-2.446E-01,-8.454E+00,2.500E+00
8.80E+01,7.413E+01,-2.517E-01,-8.647E+00,2.500E+00
8.90E+01,7.586E+01,-2.594E-01,-8.860E+00,2.500E+00
9.00E+01,7.762E+01,-2.653E-01,-9.054E+00,2.500E+00
9.10E+01,7.943E+01,-2.685E-01,-9.246E+00,2.500E+00
9.20E+01,8.128E+01,-2.805E-01,-9.463E+00,2.500E+00
9.30E+01,8.318E+01,-2.859E-01,-9.676E+00,2.500E+00
9.40E+01,8.511E+01,-2.939E-01,-9.877E+00,2.500E+00
9.50E+01,8.710E+01,-3.015E-01,-1.011E+01,2.500E+00
9.60E+01,8.913E+01,-3.100E-01,-1.033E+01,2.500E+00
9.70E+01,9.120E+01,-3.181E-01,-1.056E+01,2.500E+00
