in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-3.236E-02,-2.426E+00,2.500E+00
2.00E+00,1.023E+01,-3.011E-02,-2.468E+00,2.500E+00
3.00E+00,1.047E+01,-3.192E-02,-2.538E+00,2.500E+00
4.00E+00,1.072E+01,-3.191E-02,-2.580E+00,2.500E+00
5.00E+00,1.096E+01,-3.191E-02,-2.666E+00,2.500E+00
6.00E+00,1.122E+01,-3.390E-02,-2.708E+00,2.500E+00
7.00E+00,1.148E+01,-3.288E-02,-2.782E+00,2.500E+00
8.00E+00,1.175E+01,-3.475E-02,-2.815E+00,2.500E+00
9.00E+00,1.202E+01,-3.416E-02,-2.899E+00,2.500E+00
1.00E+01,1.230E+01,-3.352E-02,-2.975E+00,2.500E+00
1.10E+01,1.259E+01,-3.372E-02,-3.039E+00,2.500E+00
1.20E+01,1.288E+01,-3.397E-02,-3.101E+00,2.500E+00
1.30E+01,1.318E+01,-3.634E-02,-3.175E+00,2.500E+00
1.40E+01,1.349E+01,-3.622E-02,-3.263E+00,2.500E+00
1.50E+01,1.380E+01,-3.720E-02,-3.329E+00,2.500E+00
1.60E+01,1.413E+01,-3.802E-02,-3.387E+00,2.500E+00
1.70E+01,1.445E+01,-3.881E-02,-3.489E+00,2.500E+00
1.80E+01,1.479E+01,-4.055E-02,-3.558E+00,2.500E+00
1.90E+01,1.514E+01,-3.966E-02,-3.630E+00,2.500E+00
2.00E+01,1.549E+01,-4.129E-02,-3.729E+00,2.500E+00
2.10E+01,1.585E+01,-4.091E-02,-3.797E+00,2.500E+00
2.20E+01,1.622E+01,-4.169E-02,-3.891E+00,2.500E+00
2.30E+01,1.660E+01,-4.302E-02,-3.990E+00,2.500E+00
2.40E+01,1.698E+01,-4.281E-02,-4.090E+00,2.500E+00
2.50E+01,1.738E+01,-4.433E-02,-4.166E+00,2.500E+00
2.60E+01,1.778E+01,-4.390E-02,-4.271E+00,2.500E+00
2.70E+01,1.820E+01,-4.621E-02,-4.379E+00,2.500E+00
2.80E+01,1.862E+01,-4.514E-02,-4.449E+00,2.500E+00
2.90E+01,1.905E+01,-4.337E-02,-4.577E+00,2.500E+00
3.00E+01,1.950E+01,-4.872E-02,-4.678E+00,2.500E+00
3.10E+01,1.995E+01,-5.072E-02,-4.784E+00,2.500E+00
3.20E+01,2.042E+01,-4.924E-02,-4.884E+00,2.500E+00
3.30E+01,2.089E+01,-5.078E-02,-5.008E+00,2.500E+00
3.40E+01,2.138E+01,-5.059E-02,-5.118E+00,2.500E+00
3.50E+01,2.188E+01,-5.200E-02,-5.235E+00,2.500E+00
3.60E+01,2.239E+01,-5.589E-02,-5.354E+00,2.500E+00
3.70E+01,2.291E+01,-5.465E-02,-5.476E+00,2.500E+00
3.80E+01,2.344E+01,-5.488E-02,-5.595E+00,2.500E+00
3.90E+01,2.399E+01,-5.693E-02,-5.733E+00,2.500E+00
4.00E+01,2.455E+01,-5.656E-02,-5.857E+00,2.500E+00
4.10E+01,2.512E+01,-5.924E-02,-5.995E+00,2.500E+00
4.20E+01,2.570E+01,-5.977E-02,-6.133E+00,2.500E+00
4.30E+01,2.630E+01,-6.363E-02,-6.265E+00,2.500E+00
4.40E+01,2.692E+01,-6.326E-02,-6.422E+00,2.500E+00
4.50E+01,2.754E+01,-6.507E-02,-6.560E+00,2.500E+00
4.60E+01,2.818E+01,-6.931E-02,-6.717E+00,2.500E+00
4.70E+01,2.884E+01,-6.660E-02,-6.875E+00,2.500E+00
4.80E+01,2.951E+01,-6.791E-02,-7.034E+00,2.500E+00
4.90E+01,3.020E+01,-7.377E-02,-7.196E+00,2.500E+00
5.00E+01,3.090E+01,-7.512E-02,-7.366E+00,2.500E+00
5.10E+01,3.162E+01,-7.772E-02,-7.535E+00,2.500E+00
5.20E+01,3.236E+01,-7.836E-02,-7.731E+00,2.500E+00
5.30E+01,3.311E+01,-8.315E-02,-7.883E+00,2.500E+00
5.40E+01,3.388E+01,-8.504E-02,-8.074E+00,2.500E+00
5.50E+01,3.467E+01,-8.534E-02,-8.256E+00,2.500E+00
5.60E+01,3.548E+01,-8.818E-02,-8.448E+00,2.500E+00
5.70E+01,3.631E+01,-9.088E-02,-8.631E+00,2.500E+00
5.80E+01,3.715E+01,-9.362E-02,-8.843E+00,2.500E+00
5.90E+01,3.802E+01,-9.747E-02,-9.038E+00,2.500E+00
6.00E+01,3.890E+01,-1.005E-01,-9.243E+00,2.500E+00
6.10E+01,3.981E+01,-1.020E-01,-9.459E+00,2.500E+00
6.20E+01,4.074E+01,-1.061E-01,-9.678E+00,2.500E+00
6.30E+01,4.169E+01,-1.122E-01,-9.902E+00,2.500E+00
6.40E+01,4.266E+01,-1.139E-01,-1.013E+01,2.500E+00
6.50E+01,4.365E+01,-1.180E-01,-1.037E+01,2.500E+00
6.60E+01,4.467E+01,-1.216E-01,-1.061E+01,2.500E+00
6.70E+01,4.571E+01,-1.266E-01,-1.084E+01,2.500E+00
6.80E+01,4.677E+01,-1.326E-01,-1.110E+01,2.500E+00
6.90E+01,4.786E+01,-1.351E-01,-1.135E+01,2.500E+00
7.00E+01,4.898E+01,-1.422E-01,-1.161E+01,2.500E+00
7.10E+01,5.012E+01,-1.463E-01,-1.187E+01,2.500E+00
7.20E+01,5.129E+01,-1.517E-01,-1.214E+01,2.500E+00
7.30E+01,5.248E+01,-1.585E-01,-1.242E+01,2.500E+00
7.40E+01,5.370E+01,-1.645E-01,-1.270E+01,2.500E+00
7.50E+01,5.495E+01,-1.699E-01,-1.300E+01,2.500E+00
7.60E+01,5.623E+01,-1.754E-01,-1.329E+01,2.500E+00
7.70E+01,5.754E+01,-1.816E-01,-1.358E+01,2.500E+00
7.80E+01,5.888E+01,-1.906E-01,-1.391E+01,2.500E+00
7.90E+01,6.026E+01,-1.966E-01,-1.423E+01,2.500E+00
8.00E+01,6.166E+01,-2.047E-01,-1.455E+01,2.500E+00
8.10E+01,6.310E+01,-2.132E-01,-1.487E+01,2.500E+00
8.20E+01,6.457E+01,-2.223E-01,-1.523E+01,2.500E+00
8.30E+01,6.607E+01,-2.297E-01,-1.557E+01,2.500E+00
8.40E+01,6.761E+01,-2.367E-01,-1.591E+01,2.500E+00
8.50E+01,6.918E+01,-2.496E-01,-1.629E+01,2.500E+00
8.60E+01,7.079E+01,-2.570E-01,-1.664E+01,2.500E+00
8.70E+01,7.244E+01,-2.662E-01,-1.701E+01,2.500E+00
8.80E+01,7.413E+01,-2.797E-01,-1.740E+01,2.500E+00
8.90E+01,7.586E+01,-2.903E-01,-1.781E+01,2.500E+00
9.00E+01,7.762E+01,-3.032E-01,-1.819E+01,2.500E+00
9.10E+01,7.943E+01,-3.136E-01,-1.861E+01,2.500E+00
9.20E+01,8.128E+01,-3.268E-01,-1.903E+01,2.500E+00
9.30E+01,8.318E+01,-3.399E-01,-1.947E+01,2.500E+00
9.40E+01,8.511E+01,-3.538E-01,-1.990E+01,2.500E+00
9.50E+01,8.710E+01,-3.677E-01,-2.034E+01,2.500E+00
9.60E+01,8.913E+01,-3.811E-01,-2.079E+01,2.500E+00
9.70E+01,9.120E+01,-3.982E-01,-2.126E+01,2.500E+00
9.80E+01,9.333E+01,-4.136E-01,-2.173E+01,2.500E+00
9.90E+01,9.550E+01,-4.319E-01,-2.221E+01,2.500E+00
1.00E+02,9.772E+01,-4.520E-01,-2.271E+01,2.500E+00
1.01E+02,1.000E+02,-4.703E-01,-2.322E+01,2.500E+00
1.02E+02,1.023E+02,-4.886E-01,-2.373E+01,2.500E+00
1.03E+02,1.047E+02,-5.073E-01,-2.426E+01,2.500E+00
1.04E+02,1.072E+02,-5.264E-01,-2.482E+01,2.500E+00
1.05E+02,1.096E+02,-5.493E-01,-2.534E+01,2.500E+00
1.06E+02,1.122E+02,-5.741E-01,-2.589E+01,2.500E+00
1.07E+02,1.148E+02,-5.991E-01,-2.647E+01,2.500E+00
1.08E+02,1.175E+02,-6.258E-01,-2.706E+01,2.500E+00
1.09E+02,1.202E+02,-6.510E-01,-2.763E+01,2.500E+00
1.10E+02,1.230E+02,-6.755E-01,-2.825E+01,2.500E+00
1.11E+02,1.259E+02,-7.038E-01,-2.886E+01,2.500E+00
1.12E+02,1.288E+02,-7.320E-01,-2.948E+01,2.500E+00
1.13E+02,1.318E+02,-7.642E-01,-3.011E+01,2.500E+00
1.14E+02,1.349E+02,-7.960E-01,-3.076E+01,2.500E+00
1.15E+02,1.380E+02,-8.294E-01,-3.142E+01,2.500E+00
1.16E+02,1.413E+02,-8.649E-01,-3.212E+01,2.500E+00
1.17E+02,1.445E+02,-8.996E-01,-3.280E+01,2.500E+00
1.18E+02,1.479E+02,-9.381E-01,-3.350E+01,2.500E+00
1.19E+02,1.514E+02,-9.790E-01,-3.423E+01,2.500E+00
1.20E+02,1.549E+02,-1.023E+00,-3.495E+01,2.500E+00
1.21E+02,1.585E+02,-1.065E+00,-3.568E+01,2.500E+00
1.22E+02,1.622E+02,-1.103E+00,-3.643E+01,2.500E+00
1.23E+02,1.660E+02,-1.144E+00,-3.716E+01,2.500E+00
