in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-9.229E-02,4.083E-01,2.500E+00
2.00E+00,1.023E+01,-9.136E-02,4.027E-01,2.500E+00
3.00E+00,1.047E+01,-9.028E-02,4.053E-01,2.500E+00
4.00E+00,1.072E+01,-9.220E-02,4.087E-01,2.500E+00
5.00E+00,1.096E+01,-8.918E-02,4.230E-01,2.500E+00
6.00E+00,1.122E+01,-9.030E-02,4.341E-01,2.500E+00
7.00E+00,1.148E+01,-9.050E-02,4.483E-01,2.500E+00
8.00E+00,1.175E+01,-8.776E-02,4.456E-01,2.500E+00
9.00E+00,1.202E+01,-8.795E-02,4.641E-01,2.500E+00
1.00E+01,1.230E+01,-8.733E-02,4.782E-01,2.500E+00
1.10E+01,1.259E+01,-8.629E-02,4.840E-01,2.500E+00
1.20E+01,1.288E+01,-8.476E-02,4.684E-01,2.500E+00
1.30E+01,1.318E+01,-8.409E-02,4.943E-01,2.500E+00
1.40E+01,1.349E+01,-8.385E-02,4.894E-01,2.500E+00
1.50E+01,1.380E+01,-8.118E-02,4.878E-01,2.500E+00
1.60E+01,1.413E+01,-8.015E-02,5.118E-01,2.500E+00
1.70E+01,1.445E+01,-8.123E-02,5.181E-01,2.500E+00
1.80E+01,1.479E+01,-7.926E-02,5.262E-01,2.500E+00
1.90E+01,1.514E+01,-7.887E-02,5.406E-01,2.500E+00
2.00E+01,1.549E+01,-7.786E-02,5.466E-01,2.500E+00
2.10E+01,1.585E+01,-7.730E-02,5.543E-01,2.500E+00
2.20E+01,1.622E+01,-7.700E-02,5.581E-01,2.500E+00
2.30E+01,1.660E+01,-7.416E-02,5.746E-01,2.500E+00
2.40E+01,1.698E+01,-7.371E-02,5.814E-01,2.500E+00
2.50E+01,1.738E+01,-7.232E-02,5.922E-01,2.500E+00
2.60E+01,1.778E+01,-7.201E-02,6.048E-01,2.500E+00
2.70E+01,1.820E+01,-7.243E-02,6.062E-01,2.500E+00
2.80E+01,1.862E+01,-7.058E-02,6.357E-01,2.500E+00
2.90E+01,1.905E+01,-7.010E-02,6.254E-01,2.500E+00
3.00E+01,1.950E+01,-6.917E-02,6.411E-01,2.500E+00
3.10E+01,1.995E+01,-6.746E-02,6.522E-01,2.500E+00
3.20E+01,2.042E+01,-6.654E-02,6.610E-01,2.500E+00
3.30E+01,2.089E+01,-6.425E-02,6.762E-01,2.500E+00
3.40E+01,2.138E+01,-6.334E-02,6.966E-01,2.500E+00
3.50E+01,2.188E+01,-6.475E-02,7.091E-01,2.500E+00
3.60E+01,2.239E+01,-6.340E-02,7.203E-01,2.500E+00
3.70E+01,2.291E+01,-5.946E-02,7.203E-01,2.500E+00
3.80E+01,2.344E+01,-6.399E-02,7.495E-01,2.500E+00
3.90E+01,2.399E+01,-5.807E-02,7.503E-01,2.500E+00
4.00E+01,2.455E+01,-5.890E-02,7.636E-01,2.500E+00
4.10E+01,2.512E+01,-5.619E-02,7.762E-01,2.500E+00
4.20E+01,2.570E+01,-5.691E-02,7.874E-01,2.500E+00
4.30E+01,2.630E+01,-5.091E-02,8.043E-01,2.500E+00
4.40E+01,2.692E+01,-5.237E-02,8.252E-01,2.500E+00
4.50E+01,2.754E+01,-4.863E-02,8.409E-01,2.500E+00
4.60E+01,2.818E+01,-5.058E-02,8.658E-01,2.500E+00
4.70E+01,2.884E+01,-4.993E-02,8.681E-01,2.500E+00
4.80E+01,2.951E+01,-4.332E-02,8.889E-01,2.500E+00
4.90E+01,3.020E+01,-7.124E-02,9.533E-01,2.500E+00
5.00E+01,3.090E+01,-6.816E-02,9.667E-01,2.500E+00
5.10E+01,3.162E+01,-6.457E-02,9.946E-01,2.500E+00
5.20E+01,3.236E+01,-6.531E-02,1.006E+00,2.500E+00
5.30E+01,3.311E+01,-6.227E-02,1.047E+00,2.500E+00
5.40E+01,3.388E+01,-6.083E-02,1.062E+00,2.500E+00
5.50E+01,3.467E+01,-5.915E-02,1.079E+00,2.500E+00
5.60E+01,3.548E+01,-5.729E-02,1.109E+00,2.500E+00
5.70E+01,3.631E+01,-5.524E-02,1.134E+00,2.500E+00
5.80E+01,3.715E+01,-5.197E-02,1.165E+00,2.500E+00
5.90E+01,3.802E+01,-5.012E-02,1.184E+00,2.500E+00
6.00E+01,3.890E+01,-4.710E-02,1.219E+00,2.500E+00
6.10E+01,3.981E+01,-4.309E-02,1.240E+00,2.500E+00
6.20E+01,4.074E+01,-4.024E-02,1.278E+00,2.500E+00
6.30E+01,4.169E+01,-3.750E-02,1.298E+00,2.500E+00
6.40E+01,4.266E+01,-3.495E-02,1.329E+00,2.500E+00
6.50E+01,4.365E+01,-3.146E-02,1.351E+00,2.500E+00
6.60E+01,4.467E+01,-2.727E-02,1.387E+00,2.500E+00
6.70E+01,4.571E+01,-2.280E-02,1.421E+00,2.500E+00
6.80E+01,4.677E+01,-2.168E-02,1.444E+00,2.500E+00
6.90E+01,4.786E+01,-1.481E-02,1.488E+00,2.500E+00
7.00E+01,4.898E+01,-9.961E-03,1.518E+00,2.500E+00
7.10E+01,5.012E+01,-5.073E-03,1.546E+00,2.500E+00
7.20E+01,5.129E+01,7.786E-04,1.586E+00,2.500E+00
