in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,7.899E+00,-7.648E-01,2.500E+00
2.00E+00,1.023E+01,7.900E+00,-8.092E-01,2.500E+00
3.00E+00,1.047E+01,7.901E+00,-8.274E-01,2.500E+00
4.00E+00,1.072E+01,7.898E+00,-8.509E-01,2.500E+00
5.00E+00,1.096E+01,7.897E+00,-8.540E-01,2.500E+00
6.00E+00,1.122E+01,7.901E+00,-8.912E-01,2.500E+00
7.00E+00,1.148E+01,7.902E+00,-9.024E-01,2.500E+00
8.00E+00,1.175E+01,7.897E+00,-9.214E-01,2.500E+00
9.00E+00,1.202E+01,7.896E+00,-9.330E-01,2.500E+00
1.00E+01,1.230E+01,7.900E+00,-9.559E-01,2.500E+00
1.10E+01,1.259E+01,7.899E+00,-9.852E-01,2.500E+00
1.20E+01,1.288E+01,7.901E+00,-1.014E+00,2.500E+00
1.30E+01,1.318E+01,7.901E+00,-1.031E+00,2.500E+00
1.40E+01,1.349E+01,7.899E+00,-1.052E+00,2.500E+00
1.50E+01,1.380E+01,7.897E+00,-1.086E+00,2.500E+00
1.60E+01,1.413E+01,7.899E+00,-1.107E+00,2.500E+00
1.70E+01,1.445E+01,7.893E+00,-1.128E+00,2.500E+00
1.80E+01,1.479E+01,7.896E+00,-1.144E+00,2.500E+00
1.90E+01,1.514E+01,7.897E+00,-1.174E+00,2.500E+00
2.00E+01,1.549E+01,7.897E+00,-1.212E+00,2.500E+00
2.10E+01,1.585E+01,7.896E+00,-1.237E+00,2.500E+00
2.20E+01,1.622E+01,7.894E+00,-1.251E+00,2.500E+00
2.30E+01,1.660E+01,7.894E+00,-1.298E+00,2.500E+00
2.40E+01,1.698E+01,7.895E+00,-1.326E+00,2.500E+00
2.50E+01,1.738E+01,7.893E+00,-1.356E+00,2.500E+00
2.60E+01,1.778E+01,7.892E+00,-1.365E+00,2.500E+00
2.70E+01,1.820E+01,7.894E+00,-1.394E+00,2.500E+00
2.80E+01,1.862E+01,7.891E+00,-1.429E+00,2.500E+00
2.90E+01,1.905E+01,7.891E+00,-1.467E+00,2.500E+00
3.00E+01,1.950E+01,7.892E+00,-1.498E+00,2.500E+00
3.10E+01,1.995E+01,7.891E+00,-1.528E+00,2.500E+00
3.20E+01,2.042E+01,7.893E+00,-1.566E+00,2.500E+00
3.30E+01,2.089E+01,7.890E+00,-1.601E+00,2.500E+00
3.40E+01,2.138E+01,7.886E+00,-1.633E+00,2.500E+00
3.50E+01,2.188E+01,7.890E+00,-1.668E+00,2.500E+00
3.60E+01,2.239E+01,7.888E+00,-1.710E+00,2.500E+00
3.70E+01,2.291E+01,7.890E+00,-1.753E+00,2.500E+00
3.80E+01,2.344E+01,7.892E+00,-1.785E+00,2.500E+00
3.90E+01,2.399E+01,7.890E+00,-1.834E+00,2.500E+00
4.00E+01,2.455E+01,7.888E+00,-1.867E+00,2.500E+00
4.10E+01,2.512E+01,7.887E+00,-1.903E+00,2.500E+00
4.20E+01,2.570E+01,7.887E+00,-1.941E+00,2.500E+00
4.30E+01,2.630E+01,7.888E+00,-2.002E+00,2.500E+00
4.40E+01,2.692E+01,7.885E+00,-2.036E+00,2.500E+00
4.50E+01,2.754E+01,7.886E+00,-2.085E+00,2.500E+00
4.60E+01,2.818E+01,7.887E+00,-2.136E+00,2.500E+00
4.70E+01,2.884E+01,7.890E+00,-2.197E+00,2.500E+00
4.80E+01,2.951E+01,7.884E+00,-2.229E+00,2.500E+00
4.90E+01,3.020E+01,7.943E+00,-2.603E+00,2.500E+00
5.00E+01,3.090E+01,7.944E+00,-2.645E+00,2.500E+00
5.10E+01,3.162E+01,7.945E+00,-2.707E+00,2.500E+00
5.20E+01,3.236E+01,7.946E+00,-2.787E+00,2.500E+00
5.30E+01,3.311E+01,7.946E+00,-2.856E+00,2.500E+00
5.40E+01,3.388E+01,7.949E+00,-2.920E+00,2.500E+00
5.50E+01,3.467E+01,7.948E+00,-2.970E+00,2.500E+00
5.60E+01,3.548E+01,7.951E+00,-3.033E+00,2.500E+00
5.70E+01,3.631E+01,7.951E+00,-3.120E+00,2.500E+00
5.80E+01,3.715E+01,7.950E+00,-3.199E+00,2.500E+00
5.90E+01,3.802E+01,7.950E+00,-3.256E+00,2.500E+00
6.00E+01,3.890E+01,7.955E+00,-3.356E+00,2.500E+00
6.10E+01,3.981E+01,7.955E+00,-3.422E+00,2.500E+00
6.20E+01,4.074E+01,7.957E+00,-3.503E+00,2.500E+00
6.30E+01,4.169E+01,7.960E+00,-3.585E+00,2.500E+00
6.40E+01,4.266E+01,7.962E+00,-3.673E+00,2.500E+00
6.50E+01,4.365E+01,7.964E+00,-3.752E+00,2.500E+00
6.60E+01,4.467E+01,7.964E+00,-3.850E+00,2.500E+00
6.70E+01,4.571E+01,7.967E+00,-3.925E+00,2.500E+00
6.80E+01,4.677E+01,7.967E+00,-4.027E+00,2.500E+00
6.90E+01,4.786E+01,7.970E+00,-4.112E+00,2.500E+00
7.00E+01,4.898E+01,7.976E+00,-4.211E+00,2.500E+00
7.10E+01,5.012E+01,7.974E+00,-4.317E+00,2.500E+00
7.20E+01,5.129E+01,7.982E+00,-4.415E+00,2.500E+00
7.30E+01,5.248E+01,7.983E+00,-4.527E+00,2.500E+00
7.40E+01,5.370E+01,7.989E+00,-4.613E+00,2.500E+00
7.50E+01,5.495E+01,7.989E+00,-4.754E+00,2.500E+00
7.60E+01,5.623E+01,7.992E+00,-4.844E+00,2.500E+00
7.70E+01,5.754E+01,7.998E+00,-4.965E+00,2.500E+00
7.80E+01,5.888E+01,7.999E+00,-5.077E+00,2.500E+00
7.90E+01,6.026E+01,8.003E+00,-5.199E+00,2.500E+00
8.00E+01,6.166E+01,8.007E+00,-5.321E+00,2.500E+00
8.10E+01,6.310E+01,8.007E+00,-5.445E+00,2.500E+00
8.20E+01,6.457E+01,8.012E+00,-5.572E+00,2.500E+00
8.30E+01,6.607E+01,8.016E+00,-5.710E+00,2.500E+00
8.40E+01,6.761E+01,8.023E+00,-5.845E+00,2.500E+00
8.50E+01,6.918E+01,8.027E+00,-5.972E+00,2.500E+00
8.60E+01,7.079E+01,8.031E+00,-6.140E+00,2.500E+00
8.70E+01,7.244E+01,8.036E+00,-6.259E+00,2.500E+00
8.80E+01,7.413E+01,8.043E+00,-6.415E+00,2.500E+00
8.90E+01,7.586E+01,8.046E+00,-6.577E+00,2.500E+00
9.00E+01,7.762E+01,8.052E+00,-6.731E+00,2.500E+00
9.10E+01,7.943E+01,8.056E+00,-6.910E+00,2.500E+00
9.20E+01,8.128E+01,8.066E+00,-7.075E+00,2.500E+00
9.30E+01,8.318E+01,8.071E+00,-7.243E+00,2.500E+00
9.40E+01,8.511E+01,8.078E+00,-7.425E+00,2.500E+00
9.50E+01,8.710E+01,8.085E+00,-7.601E+00,2.500E+00
9.60E+01,8.913E+01,8.092E+00,-7.789E+00,2.500E+00
9.70E+01,9.120E+01,8.103E+00,-7.982E+00,2.500E+00
9.80E+01,9.333E+01,8.109E+00,-8.158E+00,2.500E+00
9.90E+01,9.550E+01,8.118E+00,-8.365E+00,2.500E+00
1.00E+02,9.772E+01,8.129E+00,-8.562E+00,2.500E+00
1.01E+02,1.000E+02,8.136E+00,-8.773E+00,2.500E+00
1.02E+02,1.023E+02,8.144E+00,-8.999E+00,2.500E+00
1.03E+02,1.047E+02,8.156E+00,-9.222E+00,2.500E+00
1.04E+02,1.072E+02,8.170E+00,-9.443E+00,2.500E+00
1.05E+02,1.096E+02,8.180E+00,-9.663E+00,2.500E+00
1.06E+02,1.122E+02,8.192E+00,-9.915E+00,2.500E+00
1.07E+02,1.148E+02,8.202E+00,-1.014E+01,2.500E+00
1.08E+02,1.175E+02,8.216E+00,-1.041E+01,2.500E+00
1.09E+02,1.202E+02,8.230E+00,-1.068E+01,2.500E+00
1.10E+02,1.230E+02,8.245E+00,-1.095E+01,2.500E+00
1.11E+02,1.259E+02,8.262E+00,-1.125E+01,2.500E+00
1.12E+02,1.288E+02,8.278E+00,-1.152E+01,2.500E+00
1.13E+02,1.318E+02,8.296E+00,-1.182E+01,2.500E+00
1.14E+02,1.349E+02,8.313E+00,-1.212E+01,2.500E+00
1.15E+02,1.380E+02,8.331E+00,-1.245E+01,2.500E+00
1.16E+02,1.413E+02,8.350E+00,-1.277E+01,2.500E+00
1.17E+02,1.445E+02,8.372E+00,-1.309E+01,2.500E+00
1.18E+02,1.479E+02,8.393E+00,-1.344E+01,2.500E+00
1.19E+02,1.514E+02,8.414E+00,-1.380E+01,2.500E+00
1.20E+02,1.549E+02,8.437E+00,-1.416E+01,2.500E+00
1.21E+02,1.585E+02,8.464E+00,-1.454E+01,2.500E+00
1.22E+02,1.622E+02,8.486E+00,-1.494E+01,2.500E+00
1.23E+02,1.660E+02,8.514E+00,-1.534E+01,2.500E+00
1.24E+02,1.698E+02,8.541E+00,-1.574E+01,2.500E+00
1.25E+02,1.738E+02,8.569E+00,-1.617E+01,2.500E+00
1.26E+02,1.778E+02,8.600E+00,-1.662E+01,2.500E+00
1.27E+02,1.820E+02,8.630E+00,-1.709E+01,2.500E+00
1.28E+02,1.862E+02,8.663E+00,-1.758E+01,2.500E+00
1.29E+02,1.905E+02,8.702E+00,-1.808E+01,2.500E+00
1.30E+02,1.950E+02,8.734E+00,-1.861E+01,2.500E+00
1.31E+02,1.995E+02,8.773E+00,-1.914E+01,2.500E+00
1.32E+02,2.042E+02,8.814E+00,-1.969E+01,2.500E+00
1.33E+02,2.089E+02,8.854E+00,-2.025E+01,2.500E+00
1.34E+02,2.138E+02,8.898E+00,-2.085E+01,2.500E+00
1.35E+02,2.188E+02,8.946E+00,-2.147E+01,2.500E+00
1.36E+02,2.239E+02,8.992E+00,-2.211E+01,2.500E+00
1.37E+02,2.291E+02,9.042E+00,-2.278E+01,2.500E+00
1.38E+02,2.344E+02,9.090E+00,-2.348E+01,2.500E+00
1.39E+02,2.399E+02,9.146E+00,-2.424E+01,2.500E+00
1.40E+02,2.455E+02,9.203E+00,-2.501E+01,2.500E+00
1.41E+02,2.512E+02,9.258E+00,-2.584E+01,2.500E+00
1.42E+02,2.570E+02,9.321E+00,-2.669E+01,2.500E+00
1.43E+02,2.630E+02,9.381E+00,-2.756E+01,2.500E+00
1.44E+02,2.692E+02,9.395E+00,-2.852E+01,2.500E+00
1.45E+02,2.754E+02,9.462E+00,-2.947E+01,2.500E+00
1.46E+02,2.818E+02,9.531E+00,-3.049E+01,2.500E+00
1.47E+02,2.884E+02,9.601E+00,-3.157E+01,2.500E+00
1.48E+02,2.951E+02,9.677E+00,-3.270E+01,2.500E+00
1.49E+02,3.020E+02,9.751E+00,-3.390E+01,2.500E+00
1.50E+02,3.090E+02,9.826E+00,-3.516E+01,2.500E+00
1.51E+02,3.162E+02,9.906E+00,-3.647E+01,2.500E+00
1.52E+02,3.236E+02,9.987E+00,-3.790E+01,2.500E+00
1.53E+02,3.311E+02,1.007E+01,-3.937E+01,2.500E+00
1.54E+02,3.388E+02,1.015E+01,-4.091E+01,2.500E+00
1.55E+02,3.467E+02,1.023E+01,-4.255E+01,2.500E+00
1.56E+02,3.548E+02,1.032E+01,-4.431E+01,2.500E+00
1.57E+02,3.631E+02,1.040E+01,-4.618E+01,2.500E+00
1.58E+02,3.715E+02,1.047E+01,-4.815E+01,2.500E+00
1.59E+02,3.802E+02,1.054E+01,-5.025E+01,2.500E+00
1.60E+02,3.890E+02,1.061E+01,-5.244E+01,2.500E+00
1.61E+02,3.981E+02,1.067E+01,-5.477E+01,2.500E+00
1.62E+02,4.074E+02,1.072E+01,-5.722E+01,2.500E+00
1.63E+02,4.169E+02,1.076E+01,-5.976E+01,2.500E+00
1.64E+02,4.266E+02,1.079E+01,-6.242E+01,2.500E+00
1.65E+02,4.365E+02,1.081E+01,-6.519E+01,2.500E+00
1.66E+02,4.467E+02,1.080E+01,-6.812E+01,2.500E+00
1.67E+02,4.571E+02,1.077E+01,-7.112E+01,2.500E+00
1.68E+02,4.677E+02,1.072E+01,-7.424E+01,2.500E+00
1.69E+02,4.786E+02,1.064E+01,-7.742E+01,2.500E+00
1.70E+02,4.898E+02,1.053E+01,-8.074E+01,2.500E+00
1.71E+02,5.012E+02,1.040E+01,-8.407E+01,2.500E+00
1.72E+02,5.129E+02,1.024E+01,-8.744E+01,2.500E+00
1.73E+02,5.248E+02,1.004E+01,-9.072E+01,2.500E+00
1.74E+02,5.370E+02,9.825E+00,-9.402E+01,2.500E+00
1.75E+02,5.495E+02,9.570E+00,-9.729E+01,2.500E+00
1.76E+02,5.623E+02,9.295E+00,-1.005E+02,2.500E+00
1.77E+02,5.754E+02,8.995E+00,-1.036E+02,2.500E+00
1.78E+02,5.888E+02,8.669E+00,-1.066E+02,2.500E+00
1.79E+02,6.026E+02,8.313E+00,-1.096E+02,2.500E+00
1.80E+02,6.166E+02,7.948E+00,-1.124E+02,2.500E+00
1.81E+02,6.310E+02,7.563E+00,-1.152E+02,2.500E+00
1.82E+02,6.457E+02,7.159E+00,-1.178E+02,2.500E+00
1.83E+02,6.607E+02,6.753E+00,-1.203E+02,2.500E+00
1.84E+02,6.761E+02,6.327E+00,-1.227E+02,2.500E+00
1.85E+02,6.918E+02,5.946E+00,-1.247E+02,2.500E+00
1.86E+02,7.079E+02,5.499E+00,-1.268E+02,2.500E+00
1.87E+02,7.244E+02,5.047E+00,-1.289E+02,2.500E+00
1.88E+02,7.413E+02,4.589E+00,-1.309E+02,2.500E+00
1.89E+02,7.586E+02,4.125E+00,-1.328E+02,2.500E+00
1.90E+02,7.762E+02,3.663E+00,-1.346E+02,2.500E+00
1.91E+02,7.943E+02,3.196E+00,-1.363E+02,2.500E+00
1.92E+02,8.128E+02,2.740E+00,-1.379E+02,2.500E+00
1.93E+02,8.318E+02,2.285E+00,-1.393E+02,2.500E+00
1.94E+02,8.511E+02,1.828E+00,-1.407E+02,2.500E+00
1.95E+02,8.710E+02,1.360E+00,-1.420E+02,2.500E+00
1.96E+02,8.913E+02,8.984E-01,-1.433E+02,2.500E+00
1.97E+02,9.120E+02,4.301E-01,-1.445E+02,2.500E+00
1.98E+02,9.333E+02,-3.618E-02,-1.456E+02,2.500E+00
1.99E+02,9.550E+02,-5.015E-01,-1.468E+02,2.500E+00
2.00E+02,9.772E+02,-9.639E-01,-1.479E+02,2.500E+00
2.01E+02,1.000E+03,-1.402E+00,-1.491E+02,2.500E+00
2.02E+02,1.023E+03,-1.862E+00,-1.500E+02,2.500E+00
2.03E+02,1.047E+03,-2.318E+00,-1.508E+02,2.500E+00
2.04E+02,1.072E+03,-2.774E+00,-1.517E+02,2.500E+00
2.05E+02,1.096E+03,-3.231E+00,-1.526E+02,2.500E+00
2.06E+02,1.122E+03,-3.676E+00,-1.535E+02,2.500E+00
2.07E+02,1.148E+03,-4.117E+00,-1.544E+02,2.500E+00
2.08E+02,1.175E+03,-4.554E+00,-1.552E+02,2.500E+00
2.09E+02,1.202E+03,-4.994E+00,-1.558E+02,2.500E+00
2.10E+02,1.230E+03,-5.446E+00,-1.565E+02,2.500E+00
2.11E+02,1.259E+03,-5.900E+00,-1.572E+02,2.500E+00
2.12E+02,1.288E+03,-6.354E+00,-1.578E+02,2.500E+00
2.13E+02,1.318E+03,-6.802E+00,-1.585E+02,2.500E+00
2.14E+02,1.349E+03,-7.235E+00,-1.591E+02,2.500E+00
2.15E+02,1.380E+03,-7.659E+00,-1.596E+02,2.500E+00
2.16E+02,1.413E+03,-8.085E+00,-1.601E+02,2.500E+00
2.17E+02,1.445E+03,-8.519E+00,-1.605E+02,2.500E+00
2.18E+02,1.479E+03,-8.958E+00,-1.611E+02,2.500E+00
2.19E+02,1.514E+03,-9.369E+00,-1.617E+02,2.500E+00
2.20E+02,1.549E+03,-9.790E+00,-1.623E+02,2.500E+00
2.21E+02,1.585E+03,-1.021E+01,-1.627E+02,2.500E+00
2.22E+02,1.622E+03,-1.064E+01,-1.631E+02,2.500E+00
2.23E+02,1.660E+03,-1.109E+01,-1.635E+02,2.500E+00
2.24E+02,1.698E+03,-1.152E+01,-1.639E+02,2.500E+00
2.25E+02,1.738E+03,-1.194E+01,-1.644E+02,2.500E+00
2.26E+02,1.778E+03,-1.234E+01,-1.647E+02,2.500E+00
2.27E+02,1.820E+03,-1.275E+01,-1.650E+02,2.500E+00
2.28E+02,1.862E+03,-1.318E+01,-1.654E+02,2.500E+00
2.29E+02,1.905E+03,-1.361E+01,-1.659E+02,2.500E+00
2.30E+02,1.950E+03,-1.402E+01,-1.663E+02,2.500E+00
2.31E+02,1.995E+03,-1.444E+01,-1.666E+02,2.500E+00
2.32E+02,2.042E+03,-1.486E+01,-1.668E+02,2.500E+00
2.33E+02,2.089E+03,-1.527E+01,-1.671E+02,2.500E+00
2.34E+02,2.138E+03,-1.569E+01,-1.673E+02,2.500E+00
2.35E+02,2.188E+03,-1.611E+01,-1.676E+02,2.500E+00
2.36E+02,2.239E+03,-1.653E+01,-1.680E+02,2.500E+00
2.37E+02,2.291E+03,-1.694E+01,-1.684E+02,2.500E+00
2.38E+02,2.344E+03,-1.734E+01,-1.687E+02,2.500E+00
2.39E+02,2.399E+03,-1.774E+01,-1.690E+02,2.500E+00
2.40E+02,2.455E+03,-1.815E+01,-1.692E+02,2.500E+00
2.41E+02,2.512E+03,-1.858E+01,-1.694E+02,2.500E+00
2.42E+02,2.570E+03,-1.900E+01,-1.696E+02,2.500E+00
2.43E+02,2.630E+03,-1.942E+01,-1.699E+02,2.500E+00
2.44E+02,2.692E+03,-1.983E+01,-1.701E+02,2.500E+00
2.45E+02,2.754E+03,-2.023E+01,-1.704E+02,2.500E+00
2.46E+02,2.818E+03,-2.062E+01,-1.706E+02,2.500E+00
2.47E+02,2.884E+03,-2.102E+01,-1.707E+02,2.500E+00
2.48E+02,2.951E+03,-2.142E+01,-1.709E+02,2.500E+00
2.49E+02,3.020E+03,-2.184E+01,-1.712E+02,2.500E+00
2.50E+02,3.090E+03,-2.225E+01,-1.715E+02,2.500E+00
2.51E+02,3.162E+03,-2.266E+01,-1.718E+02,2.500E+00
2.52E+02,3.236E+03,-2.307E+01,-1.719E+02,2.500E+00
2.53E+02,3.311E+03,-2.347E+01,-1.719E+02,2.500E+00
2.54E+02,3.388E+03,-2.389E+01,-1.720E+02,2.500E+00
2.55E+02,3.467E+03,-2.430E+01,-1.723E+02,2.500E+00
2.56E+02,3.548E+03,-2.469E+01,-1.725E+02,2.500E+00
2.57E+02,3.631E+03,-2.507E+01,-1.728E+02,2.500E+00
2.58E+02,3.715E+03,-2.548E+01,-1.729E+02,2.500E+00
2.59E+02,3.802E+03,-2.591E+01,-1.730E+02,2.500E+00
2.60E+02,3.890E+03,-2.633E+01,-1.732E+02,2.500E+00
2.61E+02,3.981E+03,-2.673E+01,-1.733E+02,2.500E+00
2.62E+02,4.074E+03,-2.711E+01,-1.734E+02,2.500E+00
2.63E+02,4.169E+03,-2.752E+01,-1.736E+02,2.500E+00
2.64E+02,4.266E+03,-2.793E+01,-1.736E+02,2.500E+00
2.65E+02,4.365E+03,-2.834E+01,-1.737E+02,2.500E+00
2.66E+02,4.467E+03,-2.874E+01,-1.738E+02,2.500E+00
2.67E+02,4.571E+03,-2.914E+01,-1.740E+02,2.500E+00
2.68E+02,4.677E+03,-2.952E+01,-1.743E+02,2.500E+00
2.69E+02,4.786E+03,-2.992E+01,-1.745E+02,2.500E+00
2.70E+02,4.898E+03,-3.032E+01,-1.746E+02,2.500E+00
2.71E+02,5.012E+03,-3.073E+01,-1.746E+02,2.500E+00
2.72E+02,5.129E+03,-3.114E+01,-1.746E+02,2.500E+00
2.73E+02,5.248E+03,-3.155E+01,-1.746E+02,2.500E+00
2.74E+02,5.370E+03,-3.194E+01,-1.748E+02,2.500E+00
2.75E+02,5.495E+03,-3.234E+01,-1.751E+02,2.500E+00
2.76E+02,5.623E+03,-3.273E+01,-1.753E+02,2.500E+00
2.77E+02,5.754E+03,-3.313E+01,-1.753E+02,2.500E+00
2.78E+02,5.888E+03,-3.354E+01,-1.753E+02,2.500E+00
2.79E+02,6.026E+03,-3.393E+01,-1.752E+02,2.500E+00
2.80E+02,6.166E+03,-3.434E+01,-1.753E+02,2.500E+00
2.81E+02,6.310E+03,-3.473E+01,-1.755E+02,2.500E+00
2.82E+02,6.457E+03,-3.512E+01,-1.758E+02,2.500E+00
2.83E+02,6.607E+03,-3.551E+01,-1.758E+02,2.500E+00
2.84E+02,6.761E+03,-3.592E+01,-1.758E+02,2.500E+00
2.85E+02,6.918E+03,-3.633E+01,-1.757E+02,2.500E+00
2.86E+02,7.079E+03,-3.672E+01,-1.758E+02,2.500E+00
2.87E+02,7.244E+03,-3.711E+01,-1.760E+02,2.500E+00
2.88E+02,7.413E+03,-3.750E+01,-1.761E+02,2.500E+00
2.89E+02,7.586E+03,-3.791E+01,-1.760E+02,2.500E+00
2.90E+02,7.762E+03,-3.831E+01,-1.760E+02,2.500E+00
2.91E+02,7.943E+03,-3.870E+01,-1.762E+02,2.500E+00
2.92E+02,8.128E+03,-3.910E+01,-1.763E+02,2.500E+00
2.93E+02,8.318E+03,-3.949E+01,-1.763E+02,2.500E+00
2.94E+02,8.511E+03,-3.989E+01,-1.763E+02,2.500E+00
2.95E+02,8.710E+03,-4.027E+01,-1.761E+02,2.500E+00
2.96E+02,8.913E+03,-4.067E+01,-1.761E+02,2.500E+00
2.97E+02,9.120E+03,-4.108E+01,-1.762E+02,2.500E+00
2.98E+02,9.333E+03,-4.148E+01,-1.762E+02,2.500E+00
2.99E+02,9.550E+03,-4.187E+01,-1.763E+02,2.500E+00
3.00E+02,9.772E+03,-4.227E+01,-1.766E+02,2.500E+00
3.01E+02,1.000E+04,-4.266E+01,-1.763E+02,2.500E+00
3.02E+02,1.023E+04,-4.305E+01,-1.761E+02,2.500E+00
3.03E+02,1.047E+04,-4.343E+01,-1.763E+02,2.500E+00
3.04E+02,1.072E+04,-4.383E+01,-1.764E+02,2.500E+00
3.05E+02,1.096E+04,-4.421E+01,-1.763E+02,2.500E+00
3.06E+02,1.122E+04,-4.460E+01,-1.760E+02,2.500E+00
3.07E+02,1.148E+04,-4.499E+01,-1.763E+02,2.500E+00
3.08E+02,1.175E+04,-4.539E+01,-1.763E+02,2.500E+00
3.09E+02,1.202E+04,-4.577E+01,-1.760E+02,2.500E+00
3.10E+02,1.230E+04,-4.616E+01,-1.759E+02,2.500E+00
