in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-6.029E-03,-9.825E-01,1.000E-01
2.00E+00,1.023E+01,9.764E-04,-1.040E+00,1.000E-01
3.00E+00,1.047E+01,1.834E-03,-1.055E+00,1.000E-01
4.00E+00,1.072E+01,4.776E-03,-1.090E+00,1.000E-01
5.00E+00,1.096E+01,-2.494E-03,-1.100E+00,1.000E-01
6.00E+00,1.122E+01,2.760E-03,-1.122E+00,1.000E-01
7.00E+00,1.148E+01,5.214E-03,-1.179E+00,1.000E-01
8.00E+00,1.175E+01,5.867E-03,-1.180E+00,1.000E-01
9.00E+00,1.202E+01,4.030E-03,-1.228E+00,1.000E-01
1.00E+01,1.230E+01,-6.819E-02,-1.213E+00,1.000E-01
1.10E+01,1.259E+01,-7.069E-02,-1.266E+00,1.000E-01
1.20E+01,1.288E+01,9.998E-03,-1.355E+00,1.000E-01
1.30E+01,1.318E+01,1.350E-02,-1.361E+00,1.000E-01
1.40E+01,1.349E+01,1.621E-02,-1.376E+00,1.000E-01
1.50E+01,1.380E+01,-7.320E-02,-1.339E+00,1.000E-01
1.60E+01,1.413E+01,-7.638E-02,-1.418E+00,1.000E-01
1.70E+01,1.445E+01,1.172E-02,-1.500E+00,1.000E-01
1.80E+01,1.479E+01,-7.753E-02,-1.451E+00,1.000E-01
1.90E+01,1.514E+01,-8.272E-02,-1.456E+00,1.000E-01
2.00E+01,1.549E+01,2.035E-02,-1.612E+00,1.000E-01
2.10E+01,1.585E+01,-8.088E-02,-1.508E+00,1.000E-01
2.20E+01,1.622E+01,2.046E-02,-1.652E+00,1.000E-01
2.30E+01,1.660E+01,1.890E-02,-1.758E+00,1.000E-01
2.40E+01,1.698E+01,2.309E-02,-1.763E+00,1.000E-01
2.50E+01,1.738E+01,2.351E-02,-1.793E+00,1.000E-01
2.60E+01,1.778E+01,-9.007E-02,-1.694E+00,1.000E-01
2.70E+01,1.820E+01,1.660E-02,-1.900E+00,1.000E-01
2.80E+01,1.862E+01,2.815E-02,-1.910E+00,1.000E-01
2.90E+01,1.905E+01,-8.579E-02,-1.813E+00,1.000E-01
3.00E+01,1.950E+01,3.071E-02,-2.011E+00,1.000E-01
3.10E+01,1.995E+01,3.061E-02,-2.052E+00,1.000E-01
3.20E+01,2.042E+01,3.192E-02,-2.132E+00,1.000E-01
3.30E+01,2.089E+01,3.713E-02,-2.191E+00,1.000E-01
