in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-2.737E-02,-4.586E-02,1.000E-01
2.00E+00,1.023E+01,-3.193E-02,-3.197E-02,1.000E-01
3.00E+00,1.047E+01,-3.508E-02,-1.549E-02,1.000E-01
4.00E+00,1.072E+01,-2.639E-02,-5.349E-02,1.000E-01
5.00E+00,1.096E+01,-2.903E-02,-5.011E-02,1.000E-01
6.00E+00,1.122E+01,-3.194E-02,-3.810E-02,1.000E-01
7.00E+00,1.148E+01,-2.323E-02,-7.324E-02,1.000E-01
8.00E+00,1.175E+01,-2.565E-02,-8.533E-02,1.000E-01
9.00E+00,1.202E+01,-3.663E-02,-1.468E-02,1.000E-01
1.00E+01,1.230E+01,-3.248E-02,-8.842E-02,1.000E-01
1.10E+01,1.259E+01,-3.008E-02,-6.025E-02,1.000E-01
1.20E+01,1.288E+01,-2.963E-02,-4.960E-02,1.000E-01
1.30E+01,1.318E+01,-3.071E-02,-3.864E-02,1.000E-01
1.40E+01,1.349E+01,-3.468E-02,-7.736E-03,1.000E-01
1.50E+01,1.380E+01,-3.380E-02,-1.234E-02,1.000E-01
1.60E+01,1.413E+01,-3.137E-02,-2.565E-02,1.000E-01
1.70E+01,1.445E+01,-3.190E-02,-2.437E-02,1.000E-01
1.80E+01,1.479E+01,-2.594E-02,-6.856E-02,1.000E-01
1.90E+01,1.514E+01,-2.989E-02,-4.566E-02,1.000E-01
2.00E+01,1.549E+01,-3.174E-02,-6.556E-02,1.000E-01
2.10E+01,1.585E+01,-2.870E-02,-7.840E-02,1.000E-01
2.20E+01,1.622E+01,-3.247E-02,-2.051E-02,1.000E-01
2.30E+01,1.660E+01,-3.331E-02,-1.286E-02,1.000E-01
2.40E+01,1.698E+01,-3.567E-02,-1.186E-02,1.000E-01
2.50E+01,1.738E+01,-3.023E-02,-2.914E-02,1.000E-01
2.60E+01,1.778E+01,-3.435E-02,-2.454E-02,1.000E-01
2.70E+01,1.820E+01,-2.900E-02,-3.746E-03,1.000E-01
2.80E+01,1.862E+01,-3.035E-02,-6.632E-02,1.000E-01
2.90E+01,1.905E+01,-3.033E-02,-4.275E-02,1.000E-01
3.00E+01,1.950E+01,-2.865E-02,-6.067E-02,1.000E-01
3.10E+01,1.995E+01,-3.067E-02,-6.192E-02,1.000E-01
3.20E+01,2.042E+01,-3.056E-02,-7.093E-02,1.000E-01
3.30E+01,2.089E+01,-3.173E-02,-1.939E-02,1.000E-01
