in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-9.223E-02,-1.174E+00,1.000E-01
2.00E+00,1.023E+01,-8.642E-02,-1.149E+00,1.000E-01
3.00E+00,1.047E+01,-1.589E-01,-9.974E-01,1.000E-01
4.00E+00,1.072E+01,-8.298E-02,-1.165E+00,1.000E-01
5.00E+00,1.096E+01,-1.668E-01,-9.891E-01,1.000E-01
6.00E+00,1.122E+01,-1.659E-01,-1.009E+00,1.000E-01
7.00E+00,1.148E+01,-1.670E-01,-1.026E+00,1.000E-01
8.00E+00,1.175E+01,-1.635E-01,-1.029E+00,1.000E-01
9.00E+00,1.202E+01,-7.944E-02,-1.336E+00,1.000E-01
1.00E+01,1.230E+01,-8.188E-02,-1.407E+00,1.000E-01
1.10E+01,1.259E+01,-1.583E-01,-1.117E+00,1.000E-01
1.20E+01,1.288E+01,-8.295E-02,-1.427E+00,1.000E-01
1.30E+01,1.318E+01,-8.311E-02,-1.491E+00,1.000E-01
1.40E+01,1.349E+01,-1.601E-01,-1.194E+00,1.000E-01
1.50E+01,1.380E+01,-7.928E-02,-1.480E+00,1.000E-01
1.60E+01,1.413E+01,-1.689E-01,-1.250E+00,1.000E-01
1.70E+01,1.445E+01,-8.333E-02,-1.639E+00,1.000E-01
1.80E+01,1.479E+01,-1.702E-01,-1.267E+00,1.000E-01
1.90E+01,1.514E+01,-1.679E-01,-1.335E+00,1.000E-01
2.00E+01,1.549E+01,-7.826E-02,-1.721E+00,1.000E-01
2.10E+01,1.585E+01,-1.747E-01,-1.434E+00,1.000E-01
2.20E+01,1.622E+01,-7.799E-02,-1.767E+00,1.000E-01
2.30E+01,1.660E+01,-1.839E-01,-1.490E+00,1.000E-01
2.40E+01,1.698E+01,-7.359E-02,-1.851E+00,1.000E-01
2.50E+01,1.738E+01,-1.766E-01,-1.534E+00,1.000E-01
2.60E+01,1.778E+01,-1.814E-01,-1.531E+00,1.000E-01
2.70E+01,1.820E+01,-1.796E-01,-1.607E+00,1.000E-01
2.80E+01,1.862E+01,-1.838E-01,-1.623E+00,1.000E-01
2.90E+01,1.905E+01,-1.664E-01,-1.670E+00,1.000E-01
3.00E+01,1.950E+01,-7.427E-02,-2.202E+00,1.000E-01
3.10E+01,1.995E+01,-7.179E-02,-2.221E+00,1.000E-01
3.20E+01,2.042E+01,-7.311E-02,-2.195E+00,1.000E-01
3.30E+01,2.089E+01,-1.936E-01,-1.825E+00,1.000E-01
3.40E+01,2.138E+01,-6.916E-02,-2.408E+00,1.000E-01
3.50E+01,2.188E+01,-1.919E-01,-1.905E+00,1.000E-01
3.60E+01,2.239E+01,-6.167E-02,-2.482E+00,1.000E-01
3.70E+01,2.291E+01,-6.942E-02,-2.571E+00,1.000E-01
3.80E+01,2.344E+01,-1.923E-01,-2.010E+00,1.000E-01
3.90E+01,2.399E+01,-7.602E-02,-2.804E+00,1.000E-01
4.00E+01,2.455E+01,-7.686E-02,-2.866E+00,1.000E-01
4.10E+01,2.512E+01,-6.145E-02,-2.787E+00,1.000E-01
4.20E+01,2.570E+01,-7.808E-02,-3.012E+00,1.000E-01
4.30E+01,2.630E+01,-2.098E-01,-2.289E+00,1.000E-01
4.40E+01,2.692E+01,-2.092E-01,-2.322E+00,1.000E-01
4.50E+01,2.754E+01,-6.271E-02,-3.084E+00,1.000E-01
4.60E+01,2.818E+01,-2.153E-01,-2.433E+00,1.000E-01
4.70E+01,2.884E+01,-2.112E-01,-2.439E+00,1.000E-01
4.80E+01,2.951E+01,-2.358E-01,-2.555E+00,1.000E-01
4.90E+01,3.020E+01,-1.570E-01,-3.010E+00,1.000E-01
5.00E+01,3.090E+01,-1.556E-01,-3.066E+00,1.000E-01
5.10E+01,3.162E+01,-1.599E-01,-3.147E+00,1.000E-01
