in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-1.035E-01,-1.963E+00,1.000E-01
2.00E+00,1.023E+01,2.547E-02,-1.914E+00,1.000E-01
3.00E+00,1.047E+01,2.806E-02,-2.043E+00,1.000E-01
4.00E+00,1.072E+01,-1.040E-01,-2.080E+00,1.000E-01
5.00E+00,1.096E+01,-1.062E-01,-2.117E+00,1.000E-01
6.00E+00,1.122E+01,-1.148E-01,-2.187E+00,1.000E-01
7.00E+00,1.148E+01,-1.114E-01,-2.202E+00,1.000E-01
8.00E+00,1.175E+01,-1.092E-01,-2.221E+00,1.000E-01
9.00E+00,1.202E+01,-1.178E-01,-2.288E+00,1.000E-01
1.00E+01,1.230E+01,3.276E-02,-2.400E+00,1.000E-01
1.10E+01,1.259E+01,3.934E-02,-2.451E+00,1.000E-01
1.20E+01,1.288E+01,-1.164E-01,-2.442E+00,1.000E-01
1.30E+01,1.318E+01,-1.225E-01,-2.516E+00,1.000E-01
1.40E+01,1.349E+01,-1.239E-01,-2.596E+00,1.000E-01
1.50E+01,1.380E+01,-1.236E-01,-2.652E+00,1.000E-01
1.60E+01,1.413E+01,4.537E-02,-2.736E+00,1.000E-01
1.70E+01,1.445E+01,-1.313E-01,-2.742E+00,1.000E-01
1.80E+01,1.479E+01,5.254E-02,-3.035E+00,1.000E-01
1.90E+01,1.514E+01,5.221E-02,-2.958E+00,1.000E-01
2.00E+01,1.549E+01,4.883E-02,-3.038E+00,1.000E-01
2.10E+01,1.585E+01,5.223E-02,-3.154E+00,1.000E-01
2.20E+01,1.622E+01,-1.332E-01,-2.862E+00,1.000E-01
2.30E+01,1.660E+01,-1.460E-01,-3.052E+00,1.000E-01
2.40E+01,1.698E+01,5.843E-02,-3.358E+00,1.000E-01
2.50E+01,1.738E+01,5.874E-02,-3.396E+00,1.000E-01
2.60E+01,1.778E+01,-1.546E-01,-3.259E+00,1.000E-01
2.70E+01,1.820E+01,6.372E-02,-3.670E+00,1.000E-01
2.80E+01,1.862E+01,-1.625E-01,-3.431E+00,1.000E-01
2.90E+01,1.905E+01,6.524E-02,-3.947E+00,1.000E-01
3.00E+01,1.950E+01,-1.564E-01,-3.516E+00,1.000E-01
3.10E+01,1.995E+01,7.237E-02,-4.080E+00,1.000E-01
3.20E+01,2.042E+01,6.792E-02,-4.240E+00,1.000E-01
3.30E+01,2.089E+01,7.629E-02,-4.464E+00,1.000E-01
3.40E+01,2.138E+01,-1.842E-01,-3.934E+00,1.000E-01
3.50E+01,2.188E+01,8.243E-02,-4.391E+00,1.000E-01
3.60E+01,2.239E+01,8.264E-02,-4.614E+00,1.000E-01
3.70E+01,2.291E+01,8.208E-02,-4.620E+00,1.000E-01
3.80E+01,2.344E+01,7.414E-02,-4.881E+00,1.000E-01
3.90E+01,2.399E+01,8.387E-02,-4.980E+00,1.000E-01
4.00E+01,2.455E+01,-1.933E-01,-4.351E+00,1.000E-01
4.10E+01,2.512E+01,9.508E-02,-5.156E+00,1.000E-01
4.20E+01,2.570E+01,-2.001E-01,-4.631E+00,1.000E-01
4.30E+01,2.630E+01,9.288E-02,-5.471E+00,1.000E-01
4.40E+01,2.692E+01,-2.062E-01,-4.815E+00,1.000E-01
4.50E+01,2.754E+01,1.069E-01,-5.749E+00,1.000E-01
4.60E+01,2.818E+01,-2.140E-01,-5.030E+00,1.000E-01
4.70E+01,2.884E+01,-2.259E-01,-5.179E+00,1.000E-01
4.80E+01,2.951E+01,-2.376E-01,-5.252E+00,1.000E-01
4.90E+01,3.020E+01,-8.634E-02,-5.940E+00,1.000E-01
5.00E+01,3.090E+01,-8.170E-02,-6.093E+00,1.000E-01
5.10E+01,3.162E+01,-8.516E-02,-6.222E+00,1.000E-01
5.20E+01,3.236E+01,-9.189E-02,-6.370E+00,1.000E-01
5.30E+01,3.311E+01,-9.634E-02,-6.545E+00,1.000E-01
5.40E+01,3.388E+01,-9.568E-02,-6.675E+00,1.000E-01
5.50E+01,3.467E+01,-9.730E-02,-6.813E+00,1.000E-01
5.60E+01,3.548E+01,-1.053E-01,-6.987E+00,1.000E-01
5.70E+01,3.631E+01,-1.059E-01,-7.143E+00,1.000E-01
5.80E+01,3.715E+01,-1.096E-01,-7.314E+00,1.000E-01
5.90E+01,3.802E+01,-1.152E-01,-7.419E+00,1.000E-01
6.00E+01,3.890E+01,-1.156E-01,-7.651E+00,1.000E-01
6.10E+01,3.981E+01,-1.150E-01,-7.814E+00,1.000E-01
6.20E+01,4.074E+01,-1.226E-01,-7.996E+00,1.000E-01
6.30E+01,4.169E+01,-1.302E-01,-8.195E+00,1.000E-01
6.40E+01,4.266E+01,-1.339E-01,-8.402E+00,1.000E-01
6.50E+01,4.365E+01,-1.360E-01,-8.570E+00,1.000E-01
6.60E+01,4.467E+01,-1.425E-01,-8.785E+00,1.000E-01
6.70E+01,4.571E+01,-1.422E-01,-8.963E+00,1.000E-01
6.80E+01,4.677E+01,-1.460E-01,-9.192E+00,1.000E-01
6.90E+01,4.786E+01,-1.574E-01,-9.395E+00,1.000E-01
7.00E+01,4.898E+01,-1.597E-01,-9.579E+00,1.000E-01
7.10E+01,5.012E+01,-1.686E-01,-9.789E+00,1.000E-01
7.20E+01,5.129E+01,-1.773E-01,-1.005E+01,1.000E-01
7.30E+01,5.248E+01,-1.781E-01,-1.026E+01,1.000E-01
7.40E+01,5.370E+01,-1.911E-01,-1.050E+01,1.000E-01
7.50E+01,5.495E+01,-1.953E-01,-1.075E+01,1.000E-01
