t,in,2,3
-1.000000E-04,2.000502E+00,1.9457898E+00,1.1697775E+00
-9.998400E-05,2.007697E+00,1.9390759E+00,1.1749655E+00
-9.996800E-05,2.006118E+00,1.9244275E+00,1.1744315E+00
-9.995200E-05,2.006644E+00,1.9360242E+00,1.1734396E+00
-9.993600E-05,2.012786E+00,1.9497571E+00,1.1717612E+00
-9.992000E-05,2.006644E+00,1.9320569E+00,1.1717612E+00
-9.990400E-05,2.003836E+00,1.9409070E+00,1.1703116E+00
-9.988800E-05,2.011206E+00,1.9311414E+00,1.1705405E+00
-9.987200E-05,1.996993E+00,1.9369397E+00,1.1695486E+00
-9.985600E-05,1.999976E+00,1.9302258E+00,1.1739737E+00
-9.984000E-05,1.999274E+00,1.9125256E+00,1.1722189E+00
-9.982400E-05,2.003310E+00,1.9253430E+00,1.1756522E+00
-9.980800E-05,1.996466E+00,1.9094739E+00,1.1709982E+00
-9.979200E-05,1.995414E+00,1.9183240E+00,1.1693198E+00
-9.977600E-05,2.005591E+00,1.9360242E+00,1.1713034E+00
-9.976000E-05,2.006644E+00,1.9369397E+00,1.1732108E+00
-9.974400E-05,2.002082E+00,1.9262585E+00,1.1744315E+00
-9.972800E-05,2.008925E+00,1.9262585E+00,1.1739737E+00
-9.971200E-05,2.005591E+00,1.9271741E+00,1.1715323E+00
-9.969600E-05,1.998748E+00,1.9329724E+00,1.1737448E+00
-9.968000E-05,2.011206E+00,1.9329724E+00,1.1751944E+00
-9.966400E-05,2.001555E+00,1.9293103E+00,1.1732108E+00
-9.964800E-05,2.011733E+00,1.9213757E+00,1.1700827E+00
-9.963200E-05,2.003310E+00,1.9369397E+00,1.1747366E+00
-9.961600E-05,2.008925E+00,1.9213757E+00,1.1719901E+00
-9.960000E-05,2.009452E+00,1.9222913E+00,1.1732108E+00
-9.958400E-05,2.006644E+00,1.9174084E+00,1.1739737E+00
-9.956800E-05,2.004889E+00,1.9457898E+00,1.1717612E+00
-9.955200E-05,2.004363E+00,1.9192395E+00,1.1725241E+00
-9.953600E-05,1.997695E+00,1.9244275E+00,1.1713034E+00
-9.952000E-05,2.009978E+00,1.9213757E+00,1.1759573E+00
-9.950400E-05,2.014540E+00,1.9232068E+00,1.1732108E+00
-9.948800E-05,2.017348E+00,1.9525037E+00,1.1737448E+00
-9.947200E-05,2.003836E+00,1.9125256E+00,1.1713034E+00
-9.945600E-05,1.999274E+00,1.9351086E+00,1.1732108E+00
-9.944000E-05,2.007697E+00,1.9293103E+00,1.1747366E+00
-9.942400E-05,1.999274E+00,1.9164929E+00,1.1729819E+00
-9.940800E-05,2.005591E+00,1.9418225E+00,1.1734396E+00
-9.939200E-05,2.000502E+00,1.9329724E+00,1.1744315E+00
-9.937600E-05,2.009452E+00,1.9204602E+00,1.1727530E+00
-9.936000E-05,2.009452E+00,1.9341931E+00,1.1734396E+00
-9.934400E-05,2.008925E+00,1.9311414E+00,1.1768729E+00
-9.932800E-05,2.008925E+00,1.9244275E+00,1.1709982E+00
-9.931200E-05,2.006644E+00,1.9537244E+00,1.1737448E+00
-9.929600E-05,2.004889E+00,1.9253430E+00,1.1764151E+00
-9.928000E-05,2.008399E+00,1.9399915E+00,1.1766440E+00
-9.926400E-05,2.004889E+00,1.9457898E+00,1.1780936E+00
-9.924800E-05,1.997695E+00,1.9360242E+00,1.1786276E+00
-9.923200E-05,2.003836E+00,1.9253430E+00,1.1756522E+00
-9.921600E-05,2.003836E+00,1.9204602E+00,1.1744315E+00
-9.920000E-05,2.005591E+00,1.9351086E+00,1.1754233E+00
-9.918400E-05,2.006644E+00,1.9427380E+00,1.1783987E+00
-9.916800E-05,2.011733E+00,1.9418225E+00,1.1764151E+00
-9.915200E-05,2.011733E+00,1.9213757E+00,1.1771780E+00
-9.913600E-05,2.011733E+00,1.9222913E+00,1.1764151E+00
-9.912000E-05,2.016120E+00,1.9293103E+00,1.1729819E+00
-9.910400E-05,2.010504E+00,1.9262585E+00,1.1732108E+00
-9.908800E-05,2.008399E+00,1.9515881E+00,1.1725241E+00
-9.907200E-05,2.006644E+00,1.9155774E+00,1.1732108E+00
-9.905600E-05,2.014540E+00,1.9204602E+00,1.1729819E+00
-9.904000E-05,2.010504E+00,1.9390759E+00,1.1747366E+00
-9.902400E-05,2.016822E+00,1.9280896E+00,1.1774069E+00
-9.900800E-05,2.007697E+00,1.9293103E+00,1.1786276E+00
-9.899200E-05,2.006644E+00,1.9125256E+00,1.1774069E+00
-9.897600E-05,2.006118E+00,1.9174084E+00,1.1761862E+00
-9.896000E-05,2.007170E+00,1.9369397E+00,1.1732108E+00
-9.894400E-05,2.009452E+00,1.9164929E+00,1.1732108E+00
-9.892800E-05,2.012259E+00,1.9293103E+00,1.1776358E+00
-9.891200E-05,2.004363E+00,1.9085583E+00,1.1739737E+00
-9.889600E-05,2.011733E+00,1.9192395E+00,1.1737448E+00
-9.888000E-05,2.007697E+00,1.9351086E+00,1.1749655E+00
-9.886400E-05,2.004889E+00,1.9329724E+00,1.1761862E+00
-9.884800E-05,2.008925E+00,1.9244275E+00,1.1780936E+00
-9.883200E-05,2.015067E+00,1.9341931E+00,1.1768729E+00
-9.881600E-05,2.006644E+00,1.9311414E+00,1.1749655E+00
-9.880000E-05,2.014540E+00,1.9604382E+00,1.1747366E+00
-9.878400E-05,2.012786E+00,1.9213757E+00,1.1759573E+00
-9.876800E-05,2.009452E+00,1.9409070E+00,1.1776358E+00
-9.875200E-05,2.012786E+00,1.9390759E+00,1.1776358E+00
-9.873600E-05,2.013312E+00,1.9222913E+00,1.1722189E+00
-9.872000E-05,2.016120E+00,1.9341931E+00,1.1778647E+00
-9.870400E-05,2.011206E+00,1.9262585E+00,1.1776358E+00
-9.868800E-05,2.010504E+00,1.9262585E+00,1.1768729E+00
-9.867200E-05,1.998748E+00,1.9280896E+00,1.1734396E+00
-9.865600E-05,2.011206E+00,1.9671521E+00,1.1719901E+00
-9.864000E-05,2.007170E+00,1.9564709E+00,1.1764151E+00
-9.862400E-05,2.018401E+00,1.9537244E+00,1.1727530E+00
-9.860800E-05,2.011733E+00,1.9555554E+00,1.1783987E+00
-9.859200E-05,2.014014E+00,1.9488416E+00,1.1780936E+00
-9.857600E-05,2.004889E+00,1.9418225E+00,1.1780936E+00
-9.856000E-05,2.009978E+00,1.9418225E+00,1.1764151E+00
-9.854400E-05,2.013312E+00,1.9253430E+00,1.1771780E+00
-9.852800E-05,2.012786E+00,1.9622693E+00,1.1759573E+00
-9.851200E-05,2.014540E+00,1.9192395E+00,1.1717612E+00
-9.849600E-05,2.011206E+00,1.9497571E+00,1.1796194E+00
-9.848000E-05,2.014014E+00,1.9439587E+00,1.1774069E+00
-9.846400E-05,2.017348E+00,1.9457898E+00,1.1739737E+00
-9.844800E-05,2.008399E+00,1.9369397E+00,1.1764151E+00
-9.843200E-05,2.018401E+00,1.9564709E+00,1.1751944E+00
-9.841600E-05,2.008925E+00,1.9418225E+00,1.1764151E+00
-9.840000E-05,2.011206E+00,1.9390759E+00,1.1761862E+00
-9.838400E-05,2.009452E+00,1.9390759E+00,1.1786276E+00
-9.836800E-05,2.014540E+00,1.9409070E+00,1.1756522E+00
-9.835200E-05,2.009978E+00,1.9497571E+00,1.1776358E+00
-9.833600E-05,2.008399E+00,1.9390759E+00,1.1761862E+00
-9.832000E-05,2.015593E+00,1.9427380E+00,1.1766440E+00
-9.830400E-05,2.019629E+00,1.9320569E+00,1.1737448E+00
-9.828800E-05,2.014014E+00,1.9448743E+00,1.1790854E+00
-9.827200E-05,2.008399E+00,1.9476208E+00,1.1774069E+00
-9.825600E-05,2.012786E+00,1.9409070E+00,1.1764151E+00
-9.824000E-05,2.011733E+00,1.9311414E+00,1.1715323E+00
-9.822400E-05,2.013312E+00,1.9253430E+00,1.1768729E+00
-9.820800E-05,2.014540E+00,1.9320569E+00,1.1771780E+00
-9.819200E-05,2.012786E+00,1.9564709E+00,1.1761862E+00
-9.817600E-05,2.012259E+00,1.9320569E+00,1.1790854E+00
-9.816000E-05,2.020156E+00,1.9506726E+00,1.1766440E+00
-9.814400E-05,2.011733E+00,1.9293103E+00,1.1783987E+00
-9.812800E-05,2.016822E+00,1.9213757E+00,1.1776358E+00
-9.811200E-05,2.014014E+00,1.9546399E+00,1.1798483E+00
-9.809600E-05,2.007697E+00,1.9555554E+00,1.1808401E+00
-9.808000E-05,2.014014E+00,1.9467053E+00,1.1749655E+00
-9.806400E-05,2.010504E+00,1.9488416E+00,1.1790854E+00
-9.804800E-05,2.011206E+00,1.9378552E+00,1.1780936E+00
